kgal, galname[kgal], Mass_tot[kgal], HLR_elip[kgal], HMR_elip[kgal]
0 K0001 10.8332874865 4218.811907 2555.4297333
1 K0002 11.1980728109 7396.58129845 5389.66451902
2 K0003 10.4761171168 6134.96127179 4025.71896725
3 K0005 10.5054209585 4901.75404108 3573.35297337
4 K0007 11.1499102779 4498.52885509 3764.80043688
5 K0008 11.0197983807 3025.82364045 2034.51696413
6 K0009 11.3578299964 3562.19021652 2546.92147908
7 K0010 11.2620058927 6394.6245774 5014.18565451
8 K0012 10.4228283596 5390.74316872 5258.79425572
9 K0013 10.6358773327 3981.65319151 3344.6836604
10 K0014 10.162618542 5615.60753211 4758.53410837
11 K0017 10.7972850947 3595.6396017 2339.97751525
12 K0018 11.1468617377 4751.0696537 4103.62135221
13 K0019 10.3512194263 2603.32429497 1996.88459825
14 K0020 11.2472504725 4401.16848403 3843.3293335
15 K0023 10.9518752027 5187.05279816 3924.72867192
16 K0025 11.1039265953 7034.1276801 5600.7649785
17 K0026 11.088183871 4418.35832291 2749.55624135
18 K0027 9.47355347967 1624.08943604 1854.71094773
19 K0028 11.1966448298 4674.85601229 3305.90595374
20 K0029 11.090110949 4431.07830184 3518.4479986
21 K0030 10.5619574568 3700.51490643 2699.55704646
22 K0031 10.9712775266 5535.50228782 4593.71840546
23 K0033 11.0892023108 6669.66500148 5424.26151888
24 K0034 11.0626913797 8164.61172259 5723.32937892
25 K0035 11.0186186585 3343.98636085 2385.40690352
26 K0036 10.9776371761 2801.35104782 2186.44884299
27 K0037 10.7749074129 3692.60641754 3045.85322529
28 K0038 11.2295307409 5228.02956769 3622.59608125
29 K0039 10.1757759648 6268.12678398 5084.25536245
30 K0040 9.90424285618 4531.8966198 3875.66059962
31 K0041 10.3096538749 4827.79992958 3858.23093169
32 K0042 10.8343214016 6941.42300333 5353.16167128
33 K0043 10.8799683554 3944.29904183 2808.24584673
34 K0044 11.4337679321 3658.3433474 3046.2026776
35 K0045 10.7976098574 6848.15615256 5157.15737803
36 K0046 10.8376353149 2020.03755755 1539.68593347
37 K0047 10.8695887037 2387.95869993 1890.29178227
38 K0049 10.9866868142 3053.89159376 2131.76979862
39 K0050 11.1579706716 2876.08993105 2099.46653643
40 K0051 11.3070495803 3000.35920254 2484.21947016
41 K0052 10.8873691967 5598.74161528 4546.69354021
42 K0053 10.5939759791 5202.39764434 3161.358924
43 K0054 11.0168490368 4507.32539522 3698.75976835
44 K0055 10.9860053626 3371.51457865 2519.44166983
45 K0057 10.8439820133 3355.30188946 2711.45893183
46 K0058 10.0702130443 3860.09149235 3661.39031976
47 K0059 11.0166522136 3072.57731242 2631.00744395
48 K0061 10.4750455998 2104.72474813 1501.64249055
49 K0064 10.0636717709 1747.28710397 1510.8232053
50 K0065 10.8670722922 3308.84097406 2002.61069557
51 K0066 11.109938826 6053.4670481 5037.85659744
52 K0067 11.0259113615 2416.72228123 1986.12551712
53 K0068 11.626252107 5232.79853359 4746.65136898
54 K0069 9.66739743023 2106.60927661 1728.18450176
55 K0070 11.2169887717 5820.44395178 4829.87848038
56 K0071 10.9486780839 6940.72164949 4372.73940762
57 K0072 11.025222664 3253.83898642 2602.16783653
58 K0073 11.1445960477 5387.27953128 3490.98263856
59 K0076 11.6119506365 6452.0756669 5074.34394834
60 K0077 10.7064061536 1834.85417161 1383.76639781
61 K0078 10.9889385274 2972.74603398 1842.2364805
