mass, num_gal
PatImagesMcorSD__yx,K0001
PatImagesMcorSD__yx,K0002
PatImagesMcorSD__yx,K0003
PatImagesMcorSD__yx,K0005
PatImagesMcorSD__yx,K0007
PatImagesMcorSD__yx,K0008
PatImagesMcorSD__yx,K0009
PatImagesMcorSD__yx,K0010
PatImagesMcorSD__yx,K0012
PatImagesMcorSD__yx,K0013
PatImagesMcorSD__yx,K0014
PatImagesMcorSD__yx,K0017
PatImagesMcorSD__yx,K0018
PatImagesMcorSD__yx,K0019
PatImagesMcorSD__yx,K0020
PatImagesMcorSD__yx,K0023
PatImagesMcorSD__yx,K0025
PatImagesMcorSD__yx,K0026
PatImagesMcorSD__yx,K0027
PatImagesMcorSD__yx,K0028
PatImagesMcorSD__yx,K0029
PatImagesMcorSD__yx,K0030
PatImagesMcorSD__yx,K0031
PatImagesMcorSD__yx,K0033
PatImagesMcorSD__yx,K0034
PatImagesMcorSD__yx,K0035
PatImagesMcorSD__yx,K0036
PatImagesMcorSD__yx,K0037
PatImagesMcorSD__yx,K0038
PatImagesMcorSD__yx,K0039
PatImagesMcorSD__yx,K0040
PatImagesMcorSD__yx,K0041
PatImagesMcorSD__yx,K0042
PatImagesMcorSD__yx,K0043
PatImagesMcorSD__yx,K0044
PatImagesMcorSD__yx,K0045
PatImagesMcorSD__yx,K0046
PatImagesMcorSD__yx,K0047
PatImagesMcorSD__yx,K0049
PatImagesMcorSD__yx,K0050
PatImagesMcorSD__yx,K0051
PatImagesMcorSD__yx,K0052
PatImagesMcorSD__yx,K0053
PatImagesMcorSD__yx,K0054
PatImagesMcorSD__yx,K0055
PatImagesMcorSD__yx,K0057
PatImagesMcorSD__yx,K0058
PatImagesMcorSD__yx,K0059
PatImagesMcorSD__yx,K0061
PatImagesMcorSD__yx,K0064
PatImagesMcorSD__yx,K0065
PatImagesMcorSD__yx,K0066
PatImagesMcorSD__yx,K0067
PatImagesMcorSD__yx,K0068
PatImagesMcorSD__yx,K0069
PatImagesMcorSD__yx,K0070
PatImagesMcorSD__yx,K0071
PatImagesMcorSD__yx,K0072
PatImagesMcorSD__yx,K0073
PatImagesMcorSD__yx,K0076
PatImagesMcorSD__yx,K0077
PatImagesMcorSD__yx,K0078
PatImagesMcorSD__yx,K0080
