flux,num_gal
at_flux__yx_,K0001
at_flux__yx_,K0002
at_flux__yx_,K0003
at_flux__yx_,K0005
at_flux__yx_,K0007
at_flux__yx_,K0008
at_flux__yx_,K0009
at_flux__yx_,K0010
at_flux__yx_,K0012
at_flux__yx_,K0013
at_flux__yx_,K0014
at_flux__yx_,K0017
at_flux__yx_,K0018
at_flux__yx_,K0019
at_flux__yx_,K0020
at_flux__yx_,K0023
at_flux__yx_,K0025
at_flux__yx_,K0026
at_flux__yx_,K0027
at_flux__yx_,K0028
at_flux__yx_,K0029
at_flux__yx_,K0030
at_flux__yx_,K0031
at_flux__yx_,K0033
at_flux__yx_,K0034
at_flux__yx_,K0035
at_flux__yx_,K0036
at_flux__yx_,K0037
at_flux__yx_,K0038
at_flux__yx_,K0039
at_flux__yx_,K0040
at_flux__yx_,K0041
at_flux__yx_,K0042
at_flux__yx_,K0043
at_flux__yx_,K0044
at_flux__yx_,K0045
at_flux__yx_,K0046
at_flux__yx_,K0047
at_flux__yx_,K0049
at_flux__yx_,K0050
at_flux__yx_,K0051
at_flux__yx_,K0052
at_flux__yx_,K0053
at_flux__yx_,K0054
at_flux__yx_,K0055
at_flux__yx_,K0057
at_flux__yx_,K0058
at_flux__yx_,K0059
at_flux__yx_,K0061
at_flux__yx_,K0064
at_flux__yx_,K0065
at_flux__yx_,K0066
at_flux__yx_,K0067
at_flux__yx_,K0068
at_flux__yx_,K0069
at_flux__yx_,K0070
at_flux__yx_,K0071
at_flux__yx_,K0072
at_flux__yx_,K0073
at_flux__yx_,K0076
at_flux__yx_,K0077
at_flux__yx_,K0078
at_flux__yx_,K0080
at_flux__yx_,K0081
at_flux__yx_,K0083
at_flux__yx_,K0084
at_flux__yx_,K0086
at_flux__yx_,K0087
at_flux__yx_,K0088
at_flux__yx_,K0089
at_flux__yx_,K0090
at_flux__yx_,K0091
at_flux__yx_,K0092
at_flux__yx_,K0093
at_flux__yx_,K0094
at_flux__yx_,K0095
at_flux__yx_,K0096
at_flux__yx_,K0097
at_flux__yx_,K0098
at_flux__yx_,K0099
at_flux__yx_,K0100
at_flux__yx_,K0101
at_flux__yx_,K0102
at_flux__yx_,K0103
at_flux__yx_,K0105
at_flux__yx_,K0107
at_flux__yx_,K0108
at_flux__yx_,K0109
at_flux__yx_,K0110
at_flux__yx_,K0115
at_flux__yx_,K0117
at_flux__yx_,K0119
at_flux__yx_,K0122
at_flux__yx_,K0123
at_flux__yx_,K0124
at_flux__yx_,K0125
at_flux__yx_,K0126
at_flux__yx_,K0127
at_flux__yx_,K0128
at_flux__yx_,K0129
at_flux__yx_,K0130
at_flux__yx_,K0131
at_flux__yx_,K0134
at_flux__yx_,K0135
at_flux__yx_,K0136
at_flux__yx_,K0137
at_flux__yx_,K0138
at_flux__yx_,K0139
at_flux__yx_,K0140
at_flux__yx_,K0141
at_flux__yx_,K0142
at_flux__yx_,K0143
at_flux__yx_,K0144
at_flux__yx_,K0147
at_flux__yx_,K0149
at_flux__yx_,K0150
at_flux__yx_,K0151
at_flux__yx_,K0152
at_flux__yx_,K0153
at_flux__yx_,K0156
at_flux__yx_,K0157
at_flux__yx_,K0159
at_flux__yx_,K0161
at_flux__yx_,K0162
at_flux__yx_,K0164
at_flux__yx_,K0165
at_flux__yx_,K0166
at_flux__yx_,K0167
at_flux__yx_,K0168
at_flux__yx_,K0169
at_flux__yx_,K0170
at_flux__yx_,K0171
at_flux__yx_,K0172
at_flux__yx_,K0173
at_flux__yx_,K0174
at_flux__yx_,K0175
at_flux__yx_,K0177
at_flux__yx_,K0179
at_flux__yx_,K0181
at_flux__yx_,K0182
at_flux__yx_,K0183
at_flux__yx_,K0185
at_flux__yx_,K0186
at_flux__yx_,K0187
at_flux__yx_,K0188
at_flux__yx_,K0189
at_flux__yx_,K0190
at_flux__yx_,K0192
at_flux__yx_,K0194
at_flux__yx_,K0195
at_flux__yx_,K0196
at_flux__yx_,K0197
at_flux__yx_,K0201
at_flux__yx_,K0203
at_flux__yx_,K0204
at_flux__yx_,K0205
at_flux__yx_,K0209
at_flux__yx_,K0210
at_flux__yx_,K0216
at_flux__yx_,K0219
at_flux__yx_,K0221
at_flux__yx_,K0231
at_flux__yx_,K0232
at_flux__yx_,K0260
at_flux__yx_,K0272
at_flux__yx_,K0273
at_flux__yx_,K0274
at_flux__yx_,K0275
at_flux__yx_,K0277
at_flux__yx_,K0278
at_flux__yx_,K0279
at_flux__yx_,K0280
at_flux__yx_,K0281
at_flux__yx_,K0297
at_flux__yx_,K0306
at_flux__yx_,K0307
at_flux__yx_,K0309
at_flux__yx_,K0310
at_flux__yx_,K0311
at_flux__yx_,K0312
at_flux__yx_,K0314
at_flux__yx_,K0318
at_flux__yx_,K0326
at_flux__yx_,K0339
at_flux__yx_,K0341
at_flux__yx_,K0353
at_flux__yx_,K0355
at_flux__yx_,K0364
at_flux__yx_,K0381
at_flux__yx_,K0383
at_flux__yx_,K0386
at_flux__yx_,K0387
at_flux__yx_,K0388
at_flux__yx_,K0391
at_flux__yx_,K0414
at_flux__yx_,K0436
at_flux__yx_,K0437
at_flux__yx_,K0475
at_flux__yx_,K0476
at_flux__yx_,K0479
at_flux__yx_,K0486
at_flux__yx_,K0500
at_flux__yx_,K0502
at_flux__yx_,K0515
at_flux__yx_,K0518
at_flux__yx_,K0528
at_flux__yx_,K0548
at_flux__yx_,K0562
at_flux__yx_,K0569
at_flux__yx_,K0580
at_flux__yx_,K0581
at_flux__yx_,K0588
at_flux__yx_,K0589
at_flux__yx_,K0592
at_flux__yx_,K0602
at_flux__yx_,K0603
at_flux__yx_,K0606
at_flux__yx_,K0607
at_flux__yx_,K0608
at_flux__yx_,K0609
at_flux__yx_,K0610
at_flux__yx_,K0611
at_flux__yx_,K0612
at_flux__yx_,K0613
