,#Populacao,Conc,Exc,I1,I2,I3,I4,I5,I6,I7,M_p,M_t,Rm/re,Sim,a,b,f=a+b/2,flong,obj,std,tetha,tm,tm_std,tp,tp_std
0,1,0.180409784089,0.261078781244,0.678782051282,0.0397321550587,0.0369926028187,0.0563482705871,0.00107626077023,0.00895930058993,-0.00152042181393,37720.8896818,263492.761952,0.71347938715,0.489743589744,37.0115340153,27.3486078226,32.180070919,1.34170193744,K0003,0.155447223688,0.116248381076,8.87010036453,0.256780855145,8.57649419687,0.0713417841453
1,2,0.229552990513,0.516658383573,0.949817554241,0.348182970089,0.00256898201288,0.254766798848,0.00269513404125,0.0703704276396,0.00052999005232,51944.687986,263492.761952,0.825723747663,0.530769230769,49.0124990931,23.6897805368,36.3511398149,0.484231946652,K0003,0.253668739664,0.0301799852845,8.87010036453,0.256780855145,8.7616282559,0.0550166288411
2,3,0.244443953881,0.276453980916,0.756704290878,0.0560077592221,0.1958263983,0.731921166012,-0.000642027082709,-0.0104757690879,-0.033330530055,62823.0590445,263492.761952,0.735721088608,0.383033419023,39.3150631569,28.4462574372,33.880660297,0.78551729879,K0003,0.227267841944,0.35585327138,8.87010036453,0.256780855145,8.90457221356,0.0363416442237
3,4,0.361729745734,0.419815022691,0.288195754736,0.0204594785142,0.016086211389,0.0351754434615,8.43375147576e-06,0.000582205174638,-0.000135859503761,110938.422857,263492.761952,0.440010060534,0.759948652118,25.9202635176,15.0385475008,20.4794055092,0.593408353969,K0003,0.180337037735,0.131916033758,8.87010036453,0.256780855145,9.23806242203,0.140391250055
K0012,1,0.424490823564,0.581928265981,0.859780177224,0.364749020923,1.2926601854,1.61097176375,0.11278045293,0.15869305288,-0.202437100746,55689.7305772,334709.888606,0.745060867607,0.672686230248,36.0119439823,15.055575866,25.5337599242,0.42867414576,,0.347630788703,-0.0960130809409,8.56918910601,0.407048243651,8.06444766166,0.460304341297
K0012,2,0.442989210483,0.63384415751,1.07428318106,0.672857692978,1.18763696776,1.02750578225,-0.0293538588586,0.154990617102,-0.0826556536174,73799.929214,334709.888606,0.846454596694,0.690744920993,40.9705030747,15.0015890706,27.9860460727,0.411136781279,,0.357867157905,0.186932127991,8.56918910601,0.407048243651,8.5515548767,0.0551622039224
K0012,3,0.43766608532,0.740443252144,1.21198986019,1.12146897991,1.69757624921,2.13706595617,0.859578902947,0.700638091721,-0.116133551615,72241.234251,334709.888606,0.891011011871,0.839002267574,44.7549779482,11.6164565266,28.1857172374,0.391707449527,,0.393239039361,0.286768146096,8.56918910601,0.407048243651,8.69259601517,0.0393019512259
K0012,4,0.548850355694,0.684451905622,0.693280235867,0.322307739351,0.765862396568,0.796170429814,-0.0113985426423,0.0747570339683,0.0549849756869,132966.312667,334709.888606,0.658942955355,0.805429864253,33.3875061052,10.5353639276,21.9614350164,0.35306277853,,0.331137894836,-0.158038367544,8.56918910601,0.407048243651,8.96915178407,0.125656980185
K0014,1,0.313009385569,0.21171217363,0.747381721037,0.0304559634433,0.217037465504,0.153257554575,0.00556161264808,0.00963099827912,0.0166920864673,22937.7800759,166685.932239,0.718774068472,0.858995137763,33.7286561324,26.587889029,30.1582725807,1.26856055978,,0.265798457923,0.00430491815898,8.6629332961,0.397616291185,8.10599937559,0.211286301201
K0014,2,0.416092907813,0.506266597071,0.91073553478,0.306624798906,0.604852496798,0.953159529106,0.132858032183,0.142444729408,-0.128357462311,43847.6485947,166685.932239,0.782399182762,0.982171799028,42.5106957945,20.9889504955,31.749823145,1.91903583638,,0.321755390554,0.17076096273,8.6629332961,0.397616291185,8.58712948684,0.0662674562656
