,at-flux,gal_num,ned_name,u-r,re,type_m
0,at_flux__yx,K0001,IC5376,2.61,9.50399971,2
1,at_flux__yx,K0002,UGC00005,2.76,12.671999931,3
2,at_flux__yx,K0003,NGC7819,2.3,19.00799942,4
3,at_flux__yx,K0005,UGC00029,2.7,14.652000427,3
4,at_flux__yx,K0007,IC1528,2.18,17.027999877,1
5,at_flux__yx,K0008,NGC7824,3.17,9.8999996185,3
6,at_flux__yx,K0009,UGC00036,2.74,7.9200000762,2
7,at_flux__yx,K0010,NGC0001,2.24,9.8999996185,2
8,at_flux__yx,K0012,NGC0023,2.15,11.088000297,4
9,at_flux__yx,K0013,NGC0036,2.48,17.819999694,2
10,at_flux__yx,K0014,UGC00139,1.7,13.463999748,5
11,at_flux__yx,K0017,UGC00148,1.76,13.463999748,-1
12,at_flux__yx,K0018,MCG-02-02-030,2.4,13.067999839,-1
13,at_flux__yx,K0019,UGC00312,1.7,9.8999996185,2
14,at_flux__yx,K0020,ESO539-G014,2.49,11.088000297,1
15,at_flux__yx,K0023,MCG-02-02-040,2.16,12.671999931,2
16,at_flux__yx,K0025,UGC00335NED02,3.49,11.880000114,2
17,at_flux__yx,K0026,NGC0155,2.63,13.859999656,1
18,at_flux__yx,K0027,ESO540-G003,2.22,10.295999527,5
19,at_flux__yx,K0028,NGC0160,2.94,15.840000152,3
20,at_flux__yx,K0029,NGC0165,2.93,17.819999694,1
21,at_flux__yx,K0030,NGC0169,3.73,16.236000061,4
22,at_flux__yx,K0031,NGC0171,2.59,22.572000503,4
23,at_flux__yx,K0033,NGC0177,3.05,9.1079998016,4
24,at_flux__yx,K0034,NGC0180,2.87,24.552000045,4
25,at_flux__yx,K0035,NGC0192,2.65,13.067999839,-1
26,at_flux__yx,K0036,NGC0216,1.58,13.463999748,1
27,at_flux__yx,K0037,NGC0214,2.36,15.840000152,0
28,at_flux__yx,K0038,NGC0217,2.93,14.652000427,1
29,at_flux__yx,K0039,NGC0237,1.84,11.880000114,4
30,at_flux__yx,K0040,NGC0234,2.23,19.403999328,4
31,at_flux__yx,K0041,MCG-02-03-015,2.55,8.3159999847,3
32,at_flux__yx,K0042,NGC0257,2.4,17.027999877,3
33,at_flux__yx,K0043,NGC0309,4.39,20.591999054,2
34,at_flux__yx,K0044,NGC0364,2.99,9.50399971,-1
35,at_flux__yx,K0045,NGC0429,2.57,4.3559999465,4
36,at_flux__yx,K0046,IC1652,2.45,6.3359999656,0
37,at_flux__yx,K0047,NGC0447,2.71,20.591999054,0
38,at_flux__yx,K0049,NGC0444,1.94,13.463999748,1
39,at_flux__yx,K0050,UGC00809,2.08,11.880000114,0
40,at_flux__yx,K0051,UGC00841,2.15,9.8999996185,-1
41,at_flux__yx,K0052,NGC0477,2.39,17.027999877,3
42,at_flux__yx,K0053,IC1683,2.54,9.8999996185,4
43,at_flux__yx,K0054,NGC0499,2.83,13.463999748,2
44,at_flux__yx,K0055,NGC0496,2.32,13.859999656,0
45,at_flux__yx,K0057,NGC0504,2.69,5.1479997634,1
46,at_flux__yx,K0058,NGC0517,2.65,7.5240001678,5
47,at_flux__yx,K0059,NGC0523,2.73,8.3159999847,0
48,at_flux__yx,K0061,UGC00987,2.43,7.9200000762,1
49,at_flux__yx,K0064,NGC0528,2.88,7.9200000762,-1
50,at_flux__yx,K0065,NGC0529,2.75,11.088000297,2
51,at_flux__yx,K0066,NGC0551,3.11,14.652000427,1
52,at_flux__yx,K0067,UGC01057,1.98,8.3159999847,-1
53,at_flux__yx,K0068,NGC0570,2.64,13.463999748,-1
54,at_flux__yx,K0069,UGC01062,2.63,9.1079998016,4
55,at_flux__yx,K0070,2MASXJ01331766+1319567,2.24,17.423999786,2
56,at_flux__yx,K0071,UGC01123,2.46,5.9400000572,4
57,at_flux__yx,K0072,IC0159,1.71,12.671999931,0
58,at_flux__yx,K0073,UGC01271,2.74,7.9200000762,2
59,at_flux__yx,K0076,UGCA021,1.88,28.115999221,-1
60,at_flux__yx,K0077,NGC0681,3.07,22.968000412,1
61,at_flux__yx,K0078,UGC01274,2.79,5.1479997634,1
62,at_flux__yx,K0080,NGC0677,2.79,13.859999656,0
63,at_flux__yx,K0081,NGC0693,2.72,15.444000244,4
64,at_flux__yx,K0083,NGC0716,2.25,9.50399971,1
65,at_flux__yx,K0084,UGC01368,2.54,9.8999996185,4
66,at_flux__yx,K0086,NGC0731,2.64,10.295999527,2
67,at_flux__yx,K0087,NGC0741,2.93,21.780000686,0
68,at_flux__yx,K0088,NGC0755,1.72,19.403999328,3
69,at_flux__yx,K0089,IC1755,2.85,7.9200000762,4
70,at_flux__yx,K0090,NGC0768,2.09,11.484000206,-1
71,at_flux__yx,K0091,NGC0774,2.65,10.692000389,1
72,at_flux__yx,K0092,NGC0776,2.67,17.027999877,-1
73,at_flux__yx,K0093,NGC0781,2.39,5.5440001487,0
74,at_flux__yx,K0094,NGC0787,2.67,15.048000335,3
75,at_flux__yx,K0095,NGC0810,2.81,14.652000427,4
76,at_flux__yx,K0096,NGC0825,2.55,7.9200000762,0
77,at_flux__yx,K0097,NGC0833,2.83,9.50399971,2
78,at_flux__yx,K0098,IC0210,3.1,15.444000244,-1
79,at_flux__yx,K0099,NGC0842,2.6,8.7119998931,0
80,at_flux__yx,K0100,UGC01659,2.5,13.463999748,1
81,at_flux__yx,K0101,KUG0210-078,2.29,13.067999839,-1
82,at_flux__yx,K0102,UGC01749,2.52,6.7319998741,2
83,at_flux__yx,K0103,NGC0873,1.74,13.859999656,0
84,at_flux__yx,K0105,NGC0924,2.56,9.8999996185,1
85,at_flux__yx,K0107,UGC01918,3.1,13.463999748,2
86,at_flux__yx,K0108,NGC0932,2.8,15.840000152,3
87,at_flux__yx,K0109,UGC01938,2.26,8.7119998931,3
88,at_flux__yx,K0110,NGC0941,1.83,23.36400032,3
89,at_flux__yx,K0115,NGC0938,2.56,10.692000389,2
90,at_flux__yx,K0117,NGC0955,2.81,11.880000114,4
91,at_flux__yx,K0119,NGC0962,2.81,11.484000206,0
92,at_flux__yx,K0122,UGC02018,2.58,7.9200000762,3
93,at_flux__yx,K0123,NGC0976,2.29,10.692000389,1
94,at_flux__yx,K0124,NGC0991,2.63,31.680000305,3
95,at_flux__yx,K0125,UGC02099,2.5,13.067999839,4
96,at_flux__yx,K0126,UGC02134,2.79,17.423999786,2
97,at_flux__yx,K0127,NGC1026,2.78,14.255999565,-1
98,at_flux__yx,K0128,NGC1041,2.58,12.671999931,-1
99,at_flux__yx,K0129,NGC1056,2.49,11.484000206,4
100,at_flux__yx,K0130,NGC1060,3.05,19.00799942,3
101,at_flux__yx,K0131,NGC1070,2.47,18.215999603,1
102,at_flux__yx,K0134,UGC02222,2.68,6.7319998741,0
103,at_flux__yx,K0135,UGC02229,2.65,11.088000297,1
104,at_flux__yx,K0136,UGC02239,2.25,9.1079998016,-1
105,at_flux__yx,K0137,MCG-01-08-008,2.31,7.9200000762,3
106,at_flux__yx,K0138,NGC1094,2.01,9.1079998016,0
107,at_flux__yx,K0139,NGC1093,2.49,11.088000297,0
108,at_flux__yx,K0140,UGC02311,2.09,11.484000206,3
109,at_flux__yx,K0141,UGC02319,2.25,8.3159999847,4
110,at_flux__yx,K0142,MCG-02-08-014,2.66,6.3359999656,2
111,at_flux__yx,K0143,NGC1132,2.71,21.384000778,4
112,at_flux__yx,K0144,UGC02367,2.76,14.255999565,4
113,at_flux__yx,K0147,NGC1142,2.41,12.671999931,3
114,at_flux__yx,K0149,UGC02403,2.63,13.067999839,3
115,at_flux__yx,K0150,UGC02405,2.4,11.484000206,5
116,at_flux__yx,K0151,UGC02443,2.28,15.048000335,2
117,at_flux__yx,K0152,UGC02465,2.86,6.7319998741,3
118,at_flux__yx,K0153,NGC1167,3.34,21.780000686,2
119,at_flux__yx,K0156,NGC1194,3.14,15.048000335,1
120,at_flux__yx,K0157,NGC1211,2.83,11.484000206,4
121,at_flux__yx,K0159,MCG-01-09-006,2.38,9.50399971,4
122,at_flux__yx,K0161,IC0307,2.49,9.50399971,5
123,at_flux__yx,K0162,UGC02628,2.24,9.8999996185,0
124,at_flux__yx,K0164,UGC02690,1.71,11.484000206,2
125,at_flux__yx,K0165,NGC1324,4.02,17.423999786,3
126,at_flux__yx,K0166,NGC1349,2.75,15.444000244,4
127,at_flux__yx,K0167,NGC1361,2.76,13.067999839,1
128,at_flux__yx,K0168,MCG-01-10-015,2.36,12.671999931,1
129,at_flux__yx,K0169,MCG-01-10-019,2.35,20.195999145,1
130,at_flux__yx,K0170,NGC1542,2.54,11.880000114,0
131,at_flux__yx,K0171,UGC03038,2.52,9.1079998016,-1
132,at_flux__yx,K0172,UGC03107,2.55,12.671999931,5
133,at_flux__yx,K0173,NGC1645,2.65,10.692000389,0
134,at_flux__yx,K0174,UGC03151,9.46,11.880000114,1
135,at_flux__yx,K0175,NGC1656,2.54,11.880000114,4
136,at_flux__yx,K0177,NGC1659,1.96,13.463999748,1
137,at_flux__yx,K0179,NGC1665,2.75,18.215999603,5
138,at_flux__yx,K0181,NGC1666,2.91,10.692000389,3
139,at_flux__yx,K0182,NGC1667,2.18,14.255999565,5
140,at_flux__yx,K0183,IC2095,1.44,11.484000206,3
141,at_flux__yx,K0185,IC2098,3.23,17.423999786,2
142,at_flux__yx,K0186,NGC1677,1.62,9.1079998016,1
143,at_flux__yx,K0187,IC2101,1.99,14.255999565,4
144,at_flux__yx,K0188,ARP180,2.49,10.692000389,2
145,at_flux__yx,K0189,UGC03253,2.38,12.276000022,0
146,at_flux__yx,K0190,NGC2253,2.37,13.859999656,3
147,at_flux__yx,K0192,UGC03539,2.31,10.692000389,2
148,at_flux__yx,K0194,NGC2347,2.15,11.880000114,1
149,at_flux__yx,K0195,UGC03899,1.21,6.7319998741,-1
150,at_flux__yx,K0196,NGC2410,2.52,13.859999656,3
151,at_flux__yx,K0197,UGC03944,1.86,13.067999839,-1
152,at_flux__yx,K0201,UGC03969,2.34,8.3159999847,-1
153,at_flux__yx,K0203,UGC03973,1.21,13.463999748,3
154,at_flux__yx,K0204,UGC03995,3.37,17.819999694,4
155,at_flux__yx,K0205,NGC2449,2.87,10.692000389,4
