#CALIFA_ID,ned_name,ppak_file,ra,dec,b,l,d_Mpc,modz,INFOmodz,IRSA_E(B-V),e_IRSA_E(B-V),Mr,u-r,objID,run,rerun,camcol,field,obj,type,flags,fiberMag_r,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,petroRad_r,petroR50_r,petroR90_r,isoA_g,isoB_g,isoA_r,isoB_r,isoAgrad_r,isoBgrad_r,specObjID,z,zErr,zConf,zStatus,specClass,velDisp,velDispErr,eClass,J,eJ,H,eH,K,eK,FUV,eFUV,NUV,eNUV,Fnu_12,Fnu_25,Fnu_60,Fnu_100,NEDNAME,CHANDRA_flux_aper_b,CHANDRA_hard_hs,mjd,plate,fiberid,FIRST_flux_int,FIRST_e_flux_int,FIRST_MajAx,FIRST_MinAx,FIRST_PosAng,abs_U,abs_G,abs_R,abs_I,abs_Z,abs_J,abs_H,abs_K,eabs_U,eabs_G,eabs_R,eabs_I,eabs_Z,eabs_J,eabs_H,eabs_K,MU50R,PETROTHETA,PETROTH50,PETROTH90,SERSIC_N,SERSIC_TH50,SERSIC_FLUX,CLASS,SUBCLASS,int_r_mag,PA,PA_align,PA_err,BA,BA_err,re,r90,r20,hlma,el_mag,hlr,circ_mag,sky,ba2,pa2
K0001,IC5376,IC5376,0.33241082,34.52566812,-27.21559355,111.3397123,65.46,34.08,N,0.0706,0.0014,-20.65,2.61,758874373141561601,4152,648,6,64,257,3,34628309008,16.02146721,16.40677643,14.48584175,13.62735653,13.16048908,12.89414787,0.369167507,0.27162993,0.197008699,0.14938572,0.105916344,21.87024498,8.446649551,28.12245941,158.9088745,40.746315,168.0810547,47.13463593,6.288699627,1.914288282,0,0.016792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.767,0.048,11.973,0.051,11.720,0.043,0,0,0,0,0,0,0,0,IC5376,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,13.364243507,107.11270904,3.077709,0.3506714105,0.2673380672,0.0107867121,9.5039997100,35.639999389,1.9800000190,9.9,13.5668230184,5.94,13.6141854946,109.809672857,0.2673380672,107.11270904
K0002,UGC00005,UGC00005,0.77351247,-1.91383463,-62.2519896,96.22271277,96.38,34.92,N,0.0401,0.0013,-21.76,2.76,587747117839614023,6371,40,6,151,71,3,1125971042373648,17.29951286,16.1230278,13.94192123,13.26508713,12.8963232,12.78683186,0.205843538,0.151457712,0.109849773,0.083295755,0.059057727,25.58309174,12.4019413,25.60126305,110.9631271,50.99581528,122.0798187,54.54440308,4.814138889,1.627451777,0,0.02434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.268,0.075,13.880,0.081,13.371,0.091,0,0,0,0,0.25,0.56,0.88,2.60,UGC00005,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,13.028848648,171.00332641,55.486328,3.6298263073,0.5438886880,0.0109086139,12.671999931,28.908000946,6.3359999656,11.484,13.1234473095,8.712,13.1704440319,129.860545682,0.543888688,171.00332641
K0003,NGC7819,NGC7819,1.10210523,31.47200751,-30.33662865,111.3151392,64.27,34.04,N,0.0565,0.0009,-20.57,2.30,758874373142937646,4152,648,6,85,46,3,34628309008,16.76483727,16.06271935,14.28064919,13.62360382,13.48658752,13.6898222,0.291452974,0.214448333,0.155535817,0.117938101,0.08361958,38.26852036,14.60249996,30.78056526,128.3769073,65.92675781,133.6854858,69.76292419,3.962272406,2.446655989,0,0.016677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.97,2.65,NGC7819,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,13.213662147,9.6088438034,86.065842,6.7872772216,0.5294741988,0.0336157903,19.007999420,45.540000915,5.1479997634,10.2961,13.5497358809,8.316,13.4879954508,109.192942607,0.5294741988,9.6088438034
K0004,UGC00029,UGC00029,1.14060365,28.3017234,-33.44107744,110.5569341,118.58,35.37,N,0.0530,0.0012,-21.97,2.70,758874299604599050,4135,648,5,283,266,3,68988047376,16.26246071,16.3736763,14.46725655,13.54228306,13.10324192,12.84916973,0.274853796,0.202234805,0.146677554,0.11122115,0.078857183,22.95294571,8.869948387,27.49419975,86.19494629,66.9478302,114.3450165,76.55858612,8.85369873,2.759770632,0,0.02931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.426,0.058,12.743,0.067,12.539,0.056,0,0,0,0,0,0,0,0,UGC00029,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,13.053049087,104.04418945,0.907189,1.9472445249,0.7989897131,0.0333179607,14.652000427,59.400001525,3.1679999828,6.732,13.5188754657,6.336,13.4801095766,109.064033122,0.7989897131,104.04418945
K0005,IC1528,IC1528,1.27240327,-7.09339021,-67.14425562,92.0570012,47.86,33.40,N,0.0347,0.0008,-20.41,2.18,587747072735445184,6361,40,2,44,192,3,1126005402112120,17.28198051,15.35303116,13.70645332,13.08639336,12.81064701,12.8763895,0.17737852,0.13051343,0.094659224,0.071777225,0.050890945,34.91903687,14.90559673,31.55147171,152.8778687,62.41839981,160.6796265,69.31319427,2.692896843,2.547011375,0,0.01278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.672,0.096,13.989,0.082,13.395,0.098,0,0,0,0,0,0,0,0,IC1528,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,12.726716041,8.0238399505,72.356842,0.2132314294,0.3633654415,0.0098855048,17.027999877,41.976001739,7.1279997825,16.236,12.8579563565,9.9,12.9228177719,123.26253545,0.3633654415,8.0238399505
K0006,NGC7824,NGC7824,1.2759865,6.92014687,-54.15170689,103.032667,80.17,34.52,N,0.0499,0.0011,-21.95,3.17,587743958889791556,5636,40,2,130,68,3,68988047376,15.20729351,16.00550842,13.5772419,12.71332455,12.28933334,12.07104874,0.26123479,0.192214087,0.139409691,0.105710141,0.074949808,28.70924568,9.007182121,29.04437065,120.6554108,73.91184998,139.2899475,79.99323273,3.994282961,1.858071089,0,0.020451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NGC7824,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,12.486436843,160.16369628,-20.395304,2.8700659275,0.7478275299,0.0146698122,9.8999996185,36.431999206,1.9800000190,7.92,12.6743602241,6.732,12.716485567,145.048486831,0.7478275299,160.16369628
K0007,UGC00036,UGC00036,1.30783959,6.77202923,-54.30240891,103.0068326,82.41,34.58,N,0.0504,0.0016,-21.30,2.74,587743795680641060,5598,40,2,124,36,3,105495269392,16.12401581,16.28752518,14.32672119,13.42565155,12.95314121,12.68413448,0.269602627,0.198371053,0.143875241,0.109096237,0.077350594,16.80584335,7.407170296,19.84444427,100.6557922,37.49438095,128.731369,46.01284027,7.423974991,2.469867229,0,0.020958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UGC00036,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,13.133574485,9.8444118499,9.288406,4.4517769813,0.6001959443,0.0572523213,7.9200000762,28.511999130,2.7720000743,7.92,13.2759482494,5.94,13.3495931402,114.870767866,0.6001959443,9.8444118499
K0008,NGC0001,NGC0001,1.81608441,27.70808138,-34.1473377,111.1074197,58.34,33.83,N,0.0638,0.0014,-21.11,2.24,758874300141797513,4135,648,6,288,137,3,71135531024,15.37564373,15.28492069,13.70182991,12.89006519,12.49813175,12.25979519,0.327358305,0.240867123,0.174696922,0.132467389,0.093921036,18.92326355,7.828069687,23.79213715,110.6387405,70.68221283,131.2653503,76.21224213,6.006080151,2.682806253,0,0.015147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,2.21,6.46,NGC0001,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,12.537891387,30.213684082,-72.831314,5.9022274017,0.8040415644,0.0239137895,9.8999996185,43.164001464,2.3759999275,7.524,12.7886610109,6.336,12.8688515249,103.764969741,0.8040415644,30.213684082
K0009,NGC0023,NGC0023,2.47260843,25.92383203,-36.01318846,111.3678113,58.61,33.84,N,0.0382,0.0003,-22.00,2.15,587740525079887913,4836,40,6,381,41,3,1125936682897496,14.54792213,14.18608379,12.66893101,11.94744205,11.62139511,11.37175655,0.196991175,0.144944236,0.105125651,0.079713598,0.056517936,25.92420959,8.999041557,28.96769714,121.8618088,87.81000519,149.6923523,104.3266373,11.35591316,3.383871794,0,0.015227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.47,1.14,9.15,16.27,NGC0023,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,11.661572456,156.59729003,-24.702709,0.9410501122,0.4223782718,0.0399194471,11.088000297,45.144001007,2.3759999275,9.9,12.0047450522,6.732,12.0183778031,108.349842648,0.4223782718,156.59729003
K0010,NGC0036,NGC0036,2.84290734,6.38935201,-55.10828153,105.3435858,79.07,34.49,N,0.0597,0.0049,-21.86,2.48,587743795144425534,5598,40,1,134,62,3,158400809930800,16.11991692,15.44959164,13.71020031,12.81370926,12.48478603,12.37944984,0.342831165,0.252251923,0.182954133,0.138728574,0.098360293,32.42208862,14.00863457,34.89094543,124.2626266,74.72953033,150.8075409,80.56137085,9.394301414,2.42639327,0,0.02032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.25,0.41,0.58,2.40,NGC0036,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,12.459397316,77.121017456,76.762016,82.631332397,0.6541434526,0.0272505637,17.819999694,54.251998901,5.5440001487,9.9,12.9653094653,8.712,12.9107501894,123.371305124,0.6541434526,77.121017456
