index,at-flux,gal_num,ned_name,u-r,re,type_m
0,at_flux__yx,K0001,IC5376,2.61,9.50399971,2
1,at_flux__yx,K0002,UGC00005,2.76,12.671999931,3
3,at_flux__yx,K0005,UGC00029,2.7,14.652000427,3
4,at_flux__yx,K0007,IC1528,2.18,17.027999877,1
5,at_flux__yx,K0008,NGC7824,3.17,9.8999996185,3
6,at_flux__yx,K0009,UGC00036,2.74,7.9200000762,2
7,at_flux__yx,K0010,NGC0001,2.24,9.8999996185,2
9,at_flux__yx,K0013,NGC0036,2.48,17.819999694,2
13,at_flux__yx,K0019,UGC00312,1.7,9.8999996185,2
14,at_flux__yx,K0020,ESO539-G014,2.49,11.088000297,1
15,at_flux__yx,K0023,MCG-02-02-040,2.16,12.671999931,2
16,at_flux__yx,K0025,UGC00335NED02,3.49,11.880000114,2
17,at_flux__yx,K0026,NGC0155,2.63,13.859999656,1
19,at_flux__yx,K0028,NGC0160,2.94,15.840000152,3
20,at_flux__yx,K0029,NGC0165,2.93,17.819999694,1
26,at_flux__yx,K0036,NGC0216,1.58,13.463999748,1
28,at_flux__yx,K0038,NGC0217,2.93,14.652000427,1
31,at_flux__yx,K0041,MCG-02-03-015,2.55,8.3159999847,3
32,at_flux__yx,K0042,NGC0257,2.4,17.027999877,3
33,at_flux__yx,K0043,NGC0309,4.39,20.591999054,2
38,at_flux__yx,K0049,NGC0444,1.94,13.463999748,1
41,at_flux__yx,K0052,NGC0477,2.39,17.027999877,3
43,at_flux__yx,K0054,NGC0499,2.83,13.463999748,2
45,at_flux__yx,K0057,NGC0504,2.69,5.1479997634,1
48,at_flux__yx,K0061,UGC00987,2.43,7.9200000762,1
50,at_flux__yx,K0065,NGC0529,2.75,11.088000297,2
51,at_flux__yx,K0066,NGC0551,3.11,14.652000427,1
55,at_flux__yx,K0070,2MASXJ01331766+1319567,2.24,17.423999786,2
58,at_flux__yx,K0073,UGC01271,2.74,7.9200000762,2
60,at_flux__yx,K0077,NGC0681,3.07,22.968000412,1
61,at_flux__yx,K0078,UGC01274,2.79,5.1479997634,1
64,at_flux__yx,K0083,NGC0716,2.25,9.50399971,1
66,at_flux__yx,K0086,NGC0731,2.64,10.295999527,2
68,at_flux__yx,K0088,NGC0755,1.72,19.403999328,3
71,at_flux__yx,K0091,NGC0774,2.65,10.692000389,1
74,at_flux__yx,K0094,NGC0787,2.67,15.048000335,3
77,at_flux__yx,K0097,NGC0833,2.83,9.50399971,2
80,at_flux__yx,K0100,UGC01659,2.5,13.463999748,1
82,at_flux__yx,K0102,UGC01749,2.52,6.7319998741,2
84,at_flux__yx,K0105,NGC0924,2.56,9.8999996185,1
85,at_flux__yx,K0107,UGC01918,3.1,13.463999748,2
86,at_flux__yx,K0108,NGC0932,2.8,15.840000152,3
87,at_flux__yx,K0109,UGC01938,2.26,8.7119998931,3
88,at_flux__yx,K0110,NGC0941,1.83,23.36400032,3
89,at_flux__yx,K0115,NGC0938,2.56,10.692000389,2
92,at_flux__yx,K0122,UGC02018,2.58,7.9200000762,3
93,at_flux__yx,K0123,NGC0976,2.29,10.692000389,1
94,at_flux__yx,K0124,NGC0991,2.63,31.680000305,3
96,at_flux__yx,K0126,UGC02134,2.79,17.423999786,2
100,at_flux__yx,K0130,NGC1060,3.05,19.00799942,3
101,at_flux__yx,K0131,NGC1070,2.47,18.215999603,1
103,at_flux__yx,K0135,UGC02229,2.65,11.088000297,1
105,at_flux__yx,K0137,MCG-01-08-008,2.31,7.9200000762,3
108,at_flux__yx,K0140,UGC02311,2.09,11.484000206,3
110,at_flux__yx,K0142,MCG-02-08-014,2.66,6.3359999656,2
113,at_flux__yx,K0147,NGC1142,2.41,12.671999931,3
114,at_flux__yx,K0149,UGC02403,2.63,13.067999839,3
116,at_flux__yx,K0151,UGC02443,2.28,15.048000335,2
117,at_flux__yx,K0152,UGC02465,2.86,6.7319998741,3
118,at_flux__yx,K0153,NGC1167,3.34,21.780000686,2
119,at_flux__yx,K0156,NGC1194,3.14,15.048000335,1
124,at_flux__yx,K0164,UGC02690,1.71,11.484000206,2
125,at_flux__yx,K0165,NGC1324,4.02,17.423999786,3
127,at_flux__yx,K0167,NGC1361,2.76,13.067999839,1
128,at_flux__yx,K0168,MCG-01-10-015,2.36,12.671999931,1
129,at_flux__yx,K0169,MCG-01-10-019,2.35,20.195999145,1
134,at_flux__yx,K0174,UGC03151,9.46,11.880000114,1
136,at_flux__yx,K0177,NGC1659,1.96,13.463999748,1
138,at_flux__yx,K0181,NGC1666,2.91,10.692000389,3
140,at_flux__yx,K0183,IC2095,1.44,11.484000206,3
141,at_flux__yx,K0185,IC2098,3.23,17.423999786,2
142,at_flux__yx,K0186,NGC1677,1.62,9.1079998016,1
144,at_flux__yx,K0188,ARP180,2.49,10.692000389,2
146,at_flux__yx,K0190,NGC2253,2.37,13.859999656,3
147,at_flux__yx,K0192,UGC03539,2.31,10.692000389,2
148,at_flux__yx,K0194,NGC2347,2.15,11.880000114,1
150,at_flux__yx,K0196,NGC2410,2.52,13.859999656,3
153,at_flux__yx,K0203,UGC03973,1.21,13.463999748,3
158,at_flux__yx,K0216,IC0480,2.45,13.463999748,2
159,at_flux__yx,K0219,NGC2476,2.65,7.5240001678,1
166,at_flux__yx,K0274,UGC04145,2.46,8.3159999847,1
167,at_flux__yx,K0275,UGC04136,2.85,5.9400000572,3
168,at_flux__yx,K0277,IC0485,2.56,5.5440001487,3
169,at_flux__yx,K0278,NGC2507,2.95,15.444000244,2
171,at_flux__yx,K0280,UGC04176,1.55,13.463999748,2
173,at_flux__yx,K0297,UGC04197,2.94,11.088000297,3
175,at_flux__yx,K0307,UGC04195,2.8,15.048000335,2
176,at_flux__yx,K0309,NGC2522,2.87,7.5240001678,3
178,at_flux__yx,K0311,NGC2530,1.93,17.027999877,1
180,at_flux__yx,K0314,UGC04245,2.36,11.484000206,1
187,at_flux__yx,K0364,NGC2553,2.67,7.9200000762,1
188,at_flux__yx,K0381,NGC2554,2.86,16.236000061,1
189,at_flux__yx,K0383,UGC04262,2.98,14.255999565,3
190,at_flux__yx,K0386,NGC2558,2.88,15.444000244,1
192,at_flux__yx,K0388,UGC04323,2.83,10.295999527,3
194,at_flux__yx,K0414,NGC2577,2.72,11.088000297,2
195,at_flux__yx,K0436,UGC04375,3.1,22.968000412,3
196,at_flux__yx,K0437,IC2341,2.42,7.1279997825,3
198,at_flux__yx,K0476,IC2361,2.04,11.088000297,3
201,at_flux__yx,K0500,UGC04416,2.24,16.631999969,3
202,at_flux__yx,K0502,NGC2596,2.55,12.671999931,1
203,at_flux__yx,K0515,NGC2595,11.37,28.115999221,3
204,at_flux__yx,K0518,UGC04425,2.47,11.880000114,2
208,at_flux__yx,K0569,NGC2604,1.85,15.840000152,2
209,at_flux__yx,K0580,UGC04468,2.81,15.444000244,3
218,at_flux__yx,K0608,NGC2639,2.71,13.067999839,3
221,at_flux__yx,K0611,UGC04559,2.59,11.484000206,3
224,at_flux__yx,K0615,IC2407,2.23,7.5240001678,2
225,at_flux__yx,K0624,UGC04659,2.5,17.027999877,1
226,at_flux__yx,K0630,NGC2692,2.64,7.5240001678,3
228,at_flux__yx,K0634,NGC2710,2.36,17.423999786,1
229,at_flux__yx,K0651,NGC2719,0.99,9.1079998016,1
231,at_flux__yx,K0653,NGC2730,1.89,20.195999145,1
233,at_flux__yx,K0659,NGC2738,1.88,9.8999996185,3
234,at_flux__yx,K0663,2MASXJ09043394+4517323,1.96,15.048000335,1
235,at_flux__yx,K0664,UGC04773,2.69,7.1279997825,2
236,at_flux__yx,K0665,IC2434,2.38,10.692000389,2
237,at_flux__yx,K0672,NGC2764,2.12,11.484000206,2
238,at_flux__yx,K0673,UGC04800,1.78,13.859999656,1
239,at_flux__yx,K0676,NGC2742A,3.01,16.236000061,2
241,at_flux__yx,K0684,NGC2776,2.37,24.552000045,2
249,at_flux__yx,K0714,NGC2796,3.21,15.444000244,3
250,at_flux__yx,K0715,IC2450,1.84,10.692000389,3
251,at_flux__yx,K0740,UGC04906,2.63,12.671999931,1
253,at_flux__yx,K0748,UGC04926,2.79,9.8999996185,3
255,at_flux__yx,K0754,UGC04938,2.62,5.9400000572,3
257,at_flux__yx,K0764,NGC2832,2.99,17.819999694,3
258,at_flux__yx,K0768,IC2461,2.79,11.088000297,3
259,at_flux__yx,K0769,NGC2805,2.24,38.01599884,3
260,at_flux__yx,K0774,UGC04958,2.3,9.1079998016,2
263,at_flux__yx,K0779,NGC2854,2.03,10.692000389,3
267,at_flux__yx,K0783,UGC05020,2.55,15.840000152,2
269,at_flux__yx,K0788,2MASXJ09283754+3832213,1.3,9.8999996185,1
270,at_flux__yx,K0789,NGC2894,2.63,10.295999527,2
271,at_flux__yx,K0790,NGC2880,2.65,13.067999839,3
272,at_flux__yx,K0791,IC2487,3.1,15.048000335,1
274,at_flux__yx,K0797,NGC2906,2.96,15.048000335,2
275,at_flux__yx,K0798,NGC2919,2.12,16.236000061,3
277,at_flux__yx,K0803,UGC05108,2.44,7.9200000762,2
278,at_flux__yx,K0804,NGC2918,2.75,10.295999527,2
281,at_flux__yx,K0807,NGC2927,3.03,14.255999565,2
282,at_flux__yx,K0808,NGC2929,2.68,11.088000297,1
283,at_flux__yx,K0809,NGC2939,3.11,17.027999877,1
284,at_flux__yx,K0810,NGC2943,3.15,20.591999054,3
285,at_flux__yx,K0811,NGC2942,2.33,20.591999054,1
286,at_flux__yx,K0813,UGC05145,2.92,12.276000022,3
291,at_flux__yx,K0818,NGC2968,3.67,19.799999237,1
292,at_flux__yx,K0820,NGC2965,2.69,15.840000152,3
293,at_flux__yx,K0821,NGC2959,3.23,17.027999877,2
295,at_flux__yx,K0823,IC0565,2.35,9.50399971,3
296,at_flux__yx,K0824,UGC05244,1.92,9.8999996185,2
301,at_flux__yx,K0830,NGC3053,2.46,10.692000389,2
302,at_flux__yx,K0831,NGC3043,1.96,12.276000022,3
304,at_flux__yx,K0833,NGC3070,2.58,11.088000297,1
305,at_flux__yx,K0834,UGC05358,1.77,15.444000244,2
308,at_flux__yx,K0837,UGC05396,2.56,13.067999839,2
