gal_num	type
K0001	2
K0002	3
K0003	4
K0005	3
K0007	1
K0008	3
K0009	2
K0010	2
K0012	4
K0013	2
K0014	5
K0017	-1
K0018	-1
K0019	2
K0020	1
K0023	2
K0025	2
K0026	1
K0027	5
K0028	3
K0029	1
K0030	4
K0031	4
K0033	4
K0034	4
K0035	-1
K0036	1
K0037	0
K0038	1
K0039	4
K0040	4
K0041	3
K0042	3
K0043	2
K0044	-1
K0045	4
K0046	0
K0047	0
K0049	1
K0050	0
K0051	-1
K0052	3
K0053	4
K0054	2
K0055	0
K0057	1
K0058	5
K0059	0
K0061	1
K0064	-1
K0065	2
K0066	1
K0067	-1
K0068	-1
K0069	4
K0070	2
K0071	4
K0072	0
K0073	2
K0076	-1
K0077	1
K0078	1
K0080	0
K0081	4
K0083	1
K0084	4
K0086	2
K0087	0
K0088	3
K0089	4
K0090	-1
K0091	1
K0092	-1
K0093	0
K0094	3
K0095	4
K0096	0
K0097	2
K0098	-1
K0099	0
K0100	1
K0101	-1
K0102	2
K0103	0
K0105	1
K0107	2
K0108	3
K0109	3
K0110	3
K0115	2
K0117	4
K0119	0
K0122	3
K0123	1
K0124	3
K0125	4
K0126	2
K0127	-1
K0128	-1
K0129	4
K0130	3
K0131	1
K0134	0
K0135	1
K0136	-1
K0137	3
K0138	0
K0139	0
K0140	3
K0141	4
K0142	2
K0143	4
K0144	4
K0147	3
K0149	3
K0150	5
K0151	2
K0152	3
K0153	2
K0156	1
K0157	4
K0159	4
K0161	5
K0162	0
K0164	2
K0165	3
K0166	4
K0167	1
K0168	1
K0169	1
K0170	0
K0171	-1
K0172	5
K0173	0
K0174	1
K0175	4
K0177	1
K0179	5
K0181	3
K0182	5
K0183	3
K0185	2
K0186	1
K0187	4
K0188	2
K0189	0
K0190	3
K0192	2
K0194	1
K0195	-1
K0196	3
K0197	-1
K0201	-1
K0203	3
K0204	4
K0205	4
K0209	5
K0210	-1
K0216	2
K0219	1
K0221	0
K0231	5
K0232	4
K0260	4
K0272	-1
K0273	4
K0274	1
K0275	3
K0277	3
K0278	2
K0279	-1
K0280	2
K0281	0
K0297	3
K0306	5
K0307	2
K0309	3
K0310	5
K0311	1
K0312	5
K0314	1
K0318	-1
K0326	2
K0339	0
K0341	-1
K0353	5
K0355	4
K0364	1
K0381	1
K0383	3
K0386	1
K0387	-1
K0388	3
K0391	0
K0414	2
K0436	3
K0437	3
K0475	5
K0476	3
K0479	0
K0486	4
K0500	3
K0502	1
K0515	3
K0518	2
K0528	5
K0548	4
K0562	0
K0569	2
K0580	3
K0581	4
K0588	-1
K0589	-1
K0592	-1
K0602	-1
K0603	4
K0606	5
K0607	0
K0608	3
K0609	4
K0610	2
K0611	3
K0612	-1
K0613	0
K0615	2
K0624	1
K0630	3
K0633	-1
K0634	1
K0651	1
K0652	4
K0653	1
K0657	5
K0659	3
K0663	1
K0664	2
K0665	2
K0672	2
K0673	1
K0676	2
K0679	4
K0684	2
K0697	4
K0703	0
K0705	0
K0707	4
K0708	-1
K0711	4
K0713	4
K0714	3
K0715	3
K0740	1
K0744	0
K0748	3
K0749	5
K0754	3
K0758	4
K0764	3
K0768	3
K0769	3
K0774	2
K0775	4
K0778	0
K0779	3
K0780	-1
K0781	-1
K0782	-1
K0783	2
K0787	0
K0788	1
K0789	2
K0790	3
K0791	1
K0794	-1
K0797	2
K0798	3
K0799	4
K0803	2
K0804	2
K0805	4
K0806	-1
K0807	2
K0808	1
K0809	1
K0810	3
K0811	1
K0813	3
K0814	-1
K0815	-1
K0816	-1
K0817	4
K0818	1
K0820	3
K0821	2
K0822	0
K0823	3
K0824	2
K0826	0
K0827	4
K0828	4
K0829	-1
K0830	2
K0831	3
K0832	-1
K0833	1
K0834	2
K0835	-1
K0836	4
K0837	2
K0838	1
K0840	-1
K0841	4
K0842	2
K0843	4
K0844	0
K0845	-1
K0846	-1
K0847	2
K0848	2
K0849	3
K0850	1
K0851	-1
K0852	4
K0854	2
K0855	5
K0856	2
K0857	3
K0858	0
K0859	-1
K0860	0
K0861	3
K0862	4
K0863	1
K0864	-1
K0865	0
K0866	4
K0867	1
K0868	2
K0869	2
K0870	0
K0871	2
K0872	1
K0874	0
K0875	0
K0876	3
K0878	4
K0880	3
K0881	-1
K0883	0
K0884	4
K0885	4
K0886	1
K0887	3
K0888	-1
K0889	1
K0890	2
K0891	4
K0893	-1
K0894	1
K0895	4
K0896	3
K0897	2
K0898	3
K0900	-1
K0901	3
K0902	1
K0903	-1
K0904	3
K0905	5
K0906	4
K0907	3
K0909	4
K0910	2
K0911	-1
K0912	0
K0914	2
K0915	2
K0916	0
K0917	0
K0919	0
K0923	-1
K0924	2
K0925	1
K0926	4
K0927	2
K0929	3
K0930	4
K0932	1
K0933	1
K0934	3
K0935	4
K0936	1
K0937	5
K1000	5
K1005	2
K1007	5
K1009	5
K1010	5
K1011	5
K1013	4
K1015	5
K1016	5
K1022	2
K1024	5
K1075	5
K1076	4
K1080	5
K2014	5
K2044	1
K2052	5
K2063	1
K2707	-1
K2752	4
K2780	0
K2781	2
K2795	2
K2835	2
K2851	0
K2871	2
K2873	0
K2902	-1
K2999	5
K3004	-1
K3006	0
K3008	-1
K3018	1
K3019	0
K3021	3
K3022	4
K3027	5
K3028	0
K3030	0
K3034	4
K3038	3
K3039	0
K3040	-1
K4027	4
K4031	3
K4034	3
