#arquivo gal_num
parametros_hu K0001
parametros_hu K0002
parametros_hu K0003
parametros_hu K0005
parametros_hu K0007
parametros_hu K0008
parametros_hu K0009
parametros_hu K0010
parametros_hu K0012
parametros_hu K0013
parametros_hu K0014
parametros_hu K0017
parametros_hu K0018
parametros_hu K0019
parametros_hu K0020
parametros_hu K0023
parametros_hu K0025
parametros_hu K0026
parametros_hu K0027
parametros_hu K0028
parametros_hu K0029
parametros_hu K0030
parametros_hu K0031
parametros_hu K0033
parametros_hu K0034
parametros_hu K0035
parametros_hu K0036
parametros_hu K0037
parametros_hu K0038
parametros_hu K0039
parametros_hu K0040
parametros_hu K0041
parametros_hu K0042
parametros_hu K0043
parametros_hu K0044
parametros_hu K0045
parametros_hu K0046
parametros_hu K0047
parametros_hu K0049
parametros_hu K0050
parametros_hu K0051
parametros_hu K0052
parametros_hu K0053
parametros_hu K0054
parametros_hu K0055
parametros_hu K0057
parametros_hu K0058
parametros_hu K0059
parametros_hu K0061
parametros_hu K0064
parametros_hu K0065
parametros_hu K0066
parametros_hu K0067
parametros_hu K0068
parametros_hu K0069
parametros_hu K0070
parametros_hu K0071
parametros_hu K0072
parametros_hu K0073
parametros_hu K0076
parametros_hu K0077
parametros_hu K0078
parametros_hu K0080
parametros_hu K0081
parametros_hu K0083
parametros_hu K0084
parametros_hu K0086
parametros_hu K0087
parametros_hu K0088
parametros_hu K0089
parametros_hu K0090
parametros_hu K0091
parametros_hu K0092
parametros_hu K0093
parametros_hu K0094
parametros_hu K0095
parametros_hu K0096
parametros_hu K0097
parametros_hu K0098
parametros_hu K0099
parametros_hu K0100
parametros_hu K0101
parametros_hu K0102
parametros_hu K0103
parametros_hu K0105
parametros_hu K0107
parametros_hu K0108
parametros_hu K0109
parametros_hu K0110
parametros_hu K0115
parametros_hu K0117
parametros_hu K0119
parametros_hu K0122
parametros_hu K0123
parametros_hu K0124
parametros_hu K0125
parametros_hu K0126
parametros_hu K0127
parametros_hu K0128
parametros_hu K0129
parametros_hu K0130
parametros_hu K0131
parametros_hu K0134
parametros_hu K0135
parametros_hu K0136
parametros_hu K0137
parametros_hu K0138
parametros_hu K0139
parametros_hu K0140
parametros_hu K0141
parametros_hu K0142
parametros_hu K0143
parametros_hu K0144
parametros_hu K0147
parametros_hu K0149
parametros_hu K0150
parametros_hu K0151
parametros_hu K0152
parametros_hu K0153
parametros_hu K0156
parametros_hu K0157
parametros_hu K0159
parametros_hu K0161
parametros_hu K0162
parametros_hu K0164
parametros_hu K0165
parametros_hu K0166
parametros_hu K0167
parametros_hu K0168
parametros_hu K0169
parametros_hu K0170
parametros_hu K0171
parametros_hu K0172
parametros_hu K0173
parametros_hu K0174
parametros_hu K0175
parametros_hu K0177
parametros_hu K0179
parametros_hu K0181
parametros_hu K0182
parametros_hu K0183
parametros_hu K0185
parametros_hu K0186
parametros_hu K0187
parametros_hu K0188
parametros_hu K0189
parametros_hu K0190
parametros_hu K0192
parametros_hu K0194
parametros_hu K0195
parametros_hu K0196
parametros_hu K0197
parametros_hu K0201
parametros_hu K0203
parametros_hu K0204
parametros_hu K0205
parametros_hu K0209
parametros_hu K0210
parametros_hu K0216
parametros_hu K0219
parametros_hu K0221
parametros_hu K0231
parametros_hu K0232
parametros_hu K0260
parametros_hu K0272
parametros_hu K0273
parametros_hu K0274
parametros_hu K0275
parametros_hu K0277
parametros_hu K0278
parametros_hu K0279
parametros_hu K0280
parametros_hu K0281
parametros_hu K0297
parametros_hu K0306
parametros_hu K0307
parametros_hu K0309
parametros_hu K0310
parametros_hu K0311
parametros_hu K0312
parametros_hu K0314
parametros_hu K0318
parametros_hu K0326
parametros_hu K0339
parametros_hu K0341
parametros_hu K0353
parametros_hu K0355
parametros_hu K0364
parametros_hu K0381
parametros_hu K0383
parametros_hu K0386
parametros_hu K0387
parametros_hu K0388
parametros_hu K0391
