#at_flux k gal_number
at_flux__yx K 0001
at_flux__yx K 0002
at_flux__yx K 0003
at_flux__yx K 0005
at_flux__yx K 0007
at_flux__yx K 0008
at_flux__yx K 0009
at_flux__yx K 0010
at_flux__yx K 0012
at_flux__yx K 0013
at_flux__yx K 0014
at_flux__yx K 0017
at_flux__yx K 0018
at_flux__yx K 0019
at_flux__yx K 0020
at_flux__yx K 0023
at_flux__yx K 0025
at_flux__yx K 0026
at_flux__yx K 0027
at_flux__yx K 0028
at_flux__yx K 0029
at_flux__yx K 0030
at_flux__yx K 0031
at_flux__yx K 0033
at_flux__yx K 0034
at_flux__yx K 0035
at_flux__yx K 0036
at_flux__yx K 0037
at_flux__yx K 0038
at_flux__yx K 0039
at_flux__yx K 0040
at_flux__yx K 0041
at_flux__yx K 0042
at_flux__yx K 0043
at_flux__yx K 0044
at_flux__yx K 0045
at_flux__yx K 0046
at_flux__yx K 0047
at_flux__yx K 0049
at_flux__yx K 0050
at_flux__yx K 0051
at_flux__yx K 0052
at_flux__yx K 0053
at_flux__yx K 0054
at_flux__yx K 0055
at_flux__yx K 0057
at_flux__yx K 0058
at_flux__yx K 0059
at_flux__yx K 0061
at_flux__yx K 0064
at_flux__yx K 0065
at_flux__yx K 0066
at_flux__yx K 0067
at_flux__yx K 0068
at_flux__yx K 0069
at_flux__yx K 0070
at_flux__yx K 0071
at_flux__yx K 0072
at_flux__yx K 0073
at_flux__yx K 0076
at_flux__yx K 0077
at_flux__yx K 0078
at_flux__yx K 0080
at_flux__yx K 0081
at_flux__yx K 0083
at_flux__yx K 0084
at_flux__yx K 0086
at_flux__yx K 0087
at_flux__yx K 0088
at_flux__yx K 0089
at_flux__yx K 0090
at_flux__yx K 0091
at_flux__yx K 0092
at_flux__yx K 0093
at_flux__yx K 0094
at_flux__yx K 0095
at_flux__yx K 0096
at_flux__yx K 0097
at_flux__yx K 0098
at_flux__yx K 0099
at_flux__yx K 0100
at_flux__yx K 0101
at_flux__yx K 0102
at_flux__yx K 0103
at_flux__yx K 0105
at_flux__yx K 0107
at_flux__yx K 0108
at_flux__yx K 0109
at_flux__yx K 0110
at_flux__yx K 0115
at_flux__yx K 0117
at_flux__yx K 0119
at_flux__yx K 0122
at_flux__yx K 0123
at_flux__yx K 0124
at_flux__yx K 0125
at_flux__yx K 0126
at_flux__yx K 0127
at_flux__yx K 0128
at_flux__yx K 0129
at_flux__yx K 0130
at_flux__yx K 0131
at_flux__yx K 0134
at_flux__yx K 0135
at_flux__yx K 0136
at_flux__yx K 0137
at_flux__yx K 0138
at_flux__yx K 0139
at_flux__yx K 0140
at_flux__yx K 0141
at_flux__yx K 0142
at_flux__yx K 0143
at_flux__yx K 0144
at_flux__yx K 0147
at_flux__yx K 0149
at_flux__yx K 0150
at_flux__yx K 0151
at_flux__yx K 0152
at_flux__yx K 0153
at_flux__yx K 0156
at_flux__yx K 0157
at_flux__yx K 0159
at_flux__yx K 0161
at_flux__yx K 0162
at_flux__yx K 0164
at_flux__yx K 0165
at_flux__yx K 0166
at_flux__yx K 0167
at_flux__yx K 0168
at_flux__yx K 0169
at_flux__yx K 0170
at_flux__yx K 0171
at_flux__yx K 0172
at_flux__yx K 0173
at_flux__yx K 0174
at_flux__yx K 0175
at_flux__yx K 0177
at_flux__yx K 0179
at_flux__yx K 0181
at_flux__yx K 0182
at_flux__yx K 0183
at_flux__yx K 0185
at_flux__yx K 0186
at_flux__yx K 0187
at_flux__yx K 0188
at_flux__yx K 0189
at_flux__yx K 0190
at_flux__yx K 0192
at_flux__yx K 0194
at_flux__yx K 0195
at_flux__yx K 0196
at_flux__yx K 0197
at_flux__yx K 0201
at_flux__yx K 0203
at_flux__yx K 0204
at_flux__yx K 0205
at_flux__yx K 0209
at_flux__yx K 0210
at_flux__yx K 0216
at_flux__yx K 0219
at_flux__yx K 0221
at_flux__yx K 0231
at_flux__yx K 0232
at_flux__yx K 0260
at_flux__yx K 0272
at_flux__yx K 0273
at_flux__yx K 0274
at_flux__yx K 0275
at_flux__yx K 0277
at_flux__yx K 0278
at_flux__yx K 0279
at_flux__yx K 0280
at_flux__yx K 0281
at_flux__yx K 0297
at_flux__yx K 0306
at_flux__yx K 0307
at_flux__yx K 0309
at_flux__yx K 0310
at_flux__yx K 0311
at_flux__yx K 0312
at_flux__yx K 0314
at_flux__yx K 0318
at_flux__yx K 0326
at_flux__yx K 0339
at_flux__yx K 0341
at_flux__yx K 0353
at_flux__yx K 0355
at_flux__yx K 0364
at_flux__yx K 0381
at_flux__yx K 0383
at_flux__yx K 0386
at_flux__yx K 0387
at_flux__yx K 0388
at_flux__yx K 0391
at_flux__yx K 0414
at_flux__yx K 0436
at_flux__yx K 0437
at_flux__yx K 0475
at_flux__yx K 0476
at_flux__yx K 0479
at_flux__yx K 0486
at_flux__yx K 0500
at_flux__yx K 0502
at_flux__yx K 0515
at_flux__yx K 0518
at_flux__yx K 0528
at_flux__yx K 0548
at_flux__yx K 0562
at_flux__yx K 0569
at_flux__yx K 0580
at_flux__yx K 0581
at_flux__yx K 0588
at_flux__yx K 0589
at_flux__yx K 0592
at_flux__yx K 0602
at_flux__yx K 0603
at_flux__yx K 0606
at_flux__yx K 0607
at_flux__yx K 0608
at_flux__yx K 0609
at_flux__yx K 0610
at_flux__yx K 0611
at_flux__yx K 0612
at_flux__yx K 0613
at_flux__yx K 0615
at_flux__yx K 0624
at_flux__yx K 0630
at_flux__yx K 0633
at_flux__yx K 0634
at_flux__yx K 0651
at_flux__yx K 0652
at_flux__yx K 0653
at_flux__yx K 0657
at_flux__yx K 0659
at_flux__yx K 0663
at_flux__yx K 0664
at_flux__yx K 0665
at_flux__yx K 0672
at_flux__yx K 0673
at_flux__yx K 0676
at_flux__yx K 0679
at_flux__yx K 0684
at_flux__yx K 0697
