,Pop,R_med,std_R,I1,I2,I3,I4,I5,I6,I7,a,b,f=a+b/2,tetha,Excent,flong,sym,Conc
0,1,0.707740508609,0.149757688861,0.665922240981,0.0151593131306,0.189659143548,0.0383763570978,0.0040062011031,0.00110187253237,0.00164606684702,27.9209036133,23.1578386209,25.5393711171,0.36030573707,0.170591362599,1.15008056426,0.48987854251,0.187876698936
1,2,0.800443349195,0.324176506656,0.948831319969,0.323855126284,1.02759383369,1.49714614315,0.55160522306,0.412332092215,-0.0582475384033,38.7259481184,19.3698639796,29.047906049,0.411188410224,0.499822085172,1.54244700706,0.825910931174,0.369187867819
2,3,0.873133492054,0.318298733249,1.10331565206,0.782632931181,0.261988604242,0.792831989566,0.0252882012529,0.146260159926,0.0261340008721,44.2286489651,14.6680541987,29.4483515819,0.366847844091,0.668358529099,1.9861032018,0.711382113821,0.373717836967
3,4,0.542173870934,0.345479809162,0.526733292464,0.190459014577,0.178879665778,0.348408849835,0.0488074093516,0.114346915844,0.00393048951367,30.8166400423,9.43677642215,20.1267082322,0.146205186137,0.693776595722,2.9459868871,0.596348884381,0.693606317512
0,1,0.745060867607,0.347630788703,0.859780177224,0.364749020923,1.2926601854,1.61097176375,0.11278045293,0.15869305288,-0.202437100746,36.0119439823,15.055575866,25.5337599242,-0.0960130809409,0.581928265981,0.42867414576,0.672686230248,0.424490823564
1,2,0.846454596694,0.357867157905,1.07428318106,0.672857692978,1.18763696776,1.02750578225,-0.0293538588586,0.154990617102,-0.0826556536174,40.9705030747,15.0015890706,27.9860460727,0.186932127991,0.63384415751,0.411136781279,0.690744920993,0.442989210483
2,3,0.891011011871,0.393239039361,1.21198986019,1.12146897991,1.69757624921,2.13706595617,0.859578902947,0.700638091721,-0.116133551615,44.7549779482,11.6164565266,28.1857172374,0.286768146096,0.740443252144,0.391707449527,0.839002267574,0.43766608532
3,4,0.658942955355,0.331137894836,0.693280235867,0.322307739351,0.765862396568,0.796170429814,-0.0113985426423,0.0747570339683,0.0549849756869,33.3875061052,10.5353639276,21.9614350164,-0.158038367544,0.684451905622,0.35306277853,0.805429864253,0.548850355694
0,1,0.718774068472,0.265798457923,0.747381721037,0.0304559634433,0.217037465504,0.153257554575,0.00556161264808,0.00963099827912,0.0166920864673,33.7286561324,26.587889029,30.1582725807,0.00430491815898,0.21171217363,1.26856055978,0.858995137763,0.313009385569
1,2,0.782399182762,0.321755390554,0.91073553478,0.306624798906,0.604852496798,0.953159529106,0.132858032183,0.142444729408,-0.128357462311,42.5106957945,20.9889504955,31.749823145,0.17076096273,0.506266597071,1.91903583638,0.982171799028,0.416092907813
2,3,0.783153338441,0.316982243947,0.911317337564,0.417175552532,0.299285039545,0.682589183927,0.065639004146,0.119571214559,-0.0357173535343,43.7649015333,18.068592756,30.9167471447,0.124791168301,0.587144215502,2.3206429013,0.751219512195,0.437922284588
