#NAME	ID	RA	DEC
IC5376	1	0:01:19	+34:31:31
UGC00005	2	0:03:05	-01:54:49
NGC7819	3	0:04:24	+31:28:18
IC1528	5	0:05:04	-07:05:35
UGC00036	7	0:05:13	+06:46:19
NGC0001	8	0:07:15	+27:42:28
NGC0023	9	0:09:52	+25:55:26
NGC0036	10	0:11:21	+06:23:21
UGC00148	12	0:15:50	+16:05:23
MCG-02-02-030	13	0:30:06	-11:06:49
UGC00312	14	0:31:23	+08:28:00
UGC00335NED02	17	0:33:56	+07:16:06
NGC0155	18	0:34:39	-10:45:59
ESO540-G003	19	0:35:39	-20:07:30
NGC0160	20	0:36:03	+23:57:28
NGC0171	23	0:37:21	-19:56:02
NGC0180	25	0:37:57	+08:38:06
NGC0192	26	0:39:12	+00:51:50
NGC0216	27	0:41:26	-21:02:40
NGC0214	28	0:41:27	+25:29:57
NGC0217	29	0:41:33	-10:01:17
NGC0237	30	0:43:27	-00:07:29
NGC0234	31	0:43:31	+14:20:33
NGC0257	33	0:48:01	+08:17:49
NGC0309	34	0:56:42	-09:54:50
NGC0364	35	1:04:40	-00:48:09
NGC0429	36	1:12:56	-00:20:41
IC1652	37	1:14:55	+31:56:56
NGC0447	38	1:15:37	+33:04:05
NGC0444	39	1:15:49	+31:04:51
UGC00809	40	1:15:51	+33:48:39
UGC00841	41	1:19:09	+33:01:51
NGC0477	42	1:21:19	+40:29:18
IC1683	43	1:22:38	+34:26:15
NGC0499	44	1:23:10	+33:27:37
NGC0496	45	1:23:11	+33:31:46
NGC0504	46	1:23:27	+33:12:17
NGC0517	47	1:24:43	+33:25:47
UGC00987	49	1:25:30	+32:08:12
NGC0528	50	1:25:33	+33:40:18
NGC0529	51	1:25:39	+34:42:48
NGC0551	52	1:27:40	+37:11:00
UGC01057	53	1:28:52	+13:47:37
NGC0570	54	1:28:58	-00:56:56
UGC01062	55	1:28:59	-00:33:43
UGC01123	57	1:34:07	-01:01:56
IC0159	58	1:46:24	-08:38:12
UGC01271	59	1:48:59	+13:12:39
NGC0681	61	1:49:10	-10:25:35
NGC0693	64	1:50:30	+06:08:41
NGC0716	65	1:52:59	+12:42:30
UGC01368	66	1:54:12	+07:53:01
NGC0731	67	1:54:55	-09:00:38
NGC0741	68	1:56:20	+05:37:44
NGC0755	69	1:56:22	-09:03:40
IC1755	70	1:57:09	+14:32:59
NGC0768	71	1:58:40	+00:31:45
NGC0774	72	1:59:34	+14:00:29
NGC0776	73	1:59:54	+23:38:39
NGC0810	76	2:05:28	+13:15:05
NGC0825	77	2:08:31	+06:19:25
NGC0833	78	2:09:20	-10:07:58
NGC0842	80	2:09:50	-07:45:44
UGC01659	81	2:09:56	+16:01:58
UGC01749	83	2:16:13	+18:18:41
NGC0873	84	2:16:31	-11:20:53
UGC01918	86	2:27:31	+25:40:08
NGC0932	87	2:27:54	+20:19:56
UGC01938	88	2:28:21	+23:12:53
NGC0941	89	2:28:27	-01:09:05
NGC0938	90	2:28:33	+20:17:01
NGC0955	91	2:30:32	-01:06:30
NGC0962	92	2:32:39	+28:04:13
UGC02018	93	2:32:39	+00:15:36
NGC0976	94	2:33:59	+20:58:36
NGC0991	95	2:35:32	-07:09:16
UGC02099	96	2:37:12	+21:34:03
UGC02134	97	2:38:51	+27:50:51
NGC1026	98	2:39:18	+06:32:38
NGC1041	99	2:40:24	-05:26:24
NGC1056	100	2:42:47	+28:34:28
NGC1060	101	2:43:14	+32:25:31
NGC1070	102	2:43:21	+04:58:05
UGC02222	103	2:45:09	+32:59:24
UGC02239	105	2:46:35	+32:26:59
NGC1094	107	2:47:27	-00:17:06
NGC1093	108	2:48:15	+34:25:12
UGC02311	109	2:49:27	-00:52:22
UGC02319	110	2:49:53	-01:00:13
UGC02403	115	2:55:56	+00:41:33
UGC02443	117	2:58:21	-02:02:29
NGC1167	119	3:01:41	+35:12:21
MCG-01-09-006	122	3:08:47	-07:02:26
IC0307	123	3:13:44	-00:14:29
UGC02628	124	3:16:31	-00:28:05
UGC02690	125	3:20:42	-01:06:31
NGC1324	126	3:25:01	-05:44:44
NGC1349	127	3:31:27	+04:22:51
NGC1361	128	3:34:17	-06:15:54
MCG-01-10-015	129	3:38:38	-05:20:50
MCG-01-10-019	130	3:40:42	-06:24:54
NGC1542	131	4:17:13	+04:46:54
NGC1645	134	4:44:05	-05:27:56
UGC03151	135	4:45:19	+11:04:04
NGC1656	136	4:45:52	-05:08:11
NGC1659	137	4:46:29	-04:47:19
NGC1665	138	4:48:16	-05:25:38
NGC1666	139	4:48:32	-06:34:11
NGC1667	140	4:48:36	-06:19:11
IC2095	141	4:48:45	-05:07:28
IC2098	142	4:50:43	-05:25:05
NGC1677	143	4:50:51	-04:53:33
IC2101	144	4:51:41	-06:13:53
NGC2253	147	6:43:41	+65:12:24
NGC2347	149	7:16:03	+64:42:42
UGC03899	150	7:32:37	+35:36:52
NGC2410	151	7:35:01	+32:49:19
UGC03944	152	7:38:36	+37:38:00
UGC03969	153	7:41:13	+27:36:50
NGC2449	156	7:47:19	+26:55:48
UGC04029	157	7:48:18	+34:19:55
IC0480	159	7:55:22	+26:44:27
NGC2480	161	7:57:09	+23:46:47
NGC2481	162	7:57:13	+23:46:04
NGC2487	164	7:58:19	+25:08:57
UGC04132	165	7:59:12	+32:54:52
UGC04140	166	7:59:21	+18:06:37
UGC04145	167	7:59:39	+15:23:12
UGC04136	168	7:59:54	+47:24:47
IC0485	169	8:00:19	+26:42:05
NGC2507	170	8:01:36	+15:42:35
NGC2513	171	8:02:24	+09:24:48
UGC04176	172	8:02:42	+40:40:42
UGC04190	173	8:02:57	+16:17:57
UGC04197	174	8:03:24	+10:03:01
UGC04210	175	8:05:04	+25:03:45
NGC2522	177	8:06:12	+17:42:23
NGC2530	179	8:07:55	+17:49:06
UGC04245	181	8:08:45	+18:11:39
UGC04258	182	8:10:47	+46:54:44
NGC2540	183	8:12:46	+26:21:42
UGC04280	185	8:14:32	+54:47:58
IC2247	186	8:15:58	+23:11:58
UGC04308	187	8:17:25	+21:41:07
NGC2553	188	8:17:34	+20:54:11
NGC2554	189	8:17:53	+23:28:19
UGC04262	190	8:19:03	+83:15:59
NGC2565	192	8:19:47	+22:01:53
NGC2572	194	8:21:24	+19:08:51
NGC2577	195	8:22:42	+22:33:11
UGC04375	196	8:23:10	+22:39:52
IC2341	197	8:23:41	+21:26:05
NGC2592	201	8:27:07	+25:58:13
NGC2596	203	8:27:26	+17:17:02
NGC2595	204	8:27:41	+21:28:44
UGC04425	205	8:28:13	+28:03:26
NGC2604	209	8:33:22	+29:32:19
UGC04468	210	8:33:30	+41:31:31
NGC2638	216	8:42:25	+37:13:15
NGC2639	219	8:43:37	+50:12:19
UGC04551	221	8:44:05	+49:47:38
UGC04722	231	9:00:23	+25:36:42
NGC2730	232	9:02:15	+16:50:17
NGC2805	260	9:20:19	+64:06:10
NGC2880	272	9:29:34	+62:29:25
IC2487	273	9:30:08	+20:05:26
IC0540	274	9:30:09	+07:54:10
NGC2906	275	9:32:05	+08:26:30
NGC2916	277	9:34:57	+21:42:18
UGC05108	278	9:35:25	+29:48:45
NGC2918	279	9:35:43	+31:42:19
UGC05111	280	9:36:52	+66:47:17
UGC05113	281	9:36:56	+66:32:55
UGC05244	297	9:48:47	+64:10:01
UGC05358	306	9:58:46	+11:23:18
UGC05359	307	9:58:51	+19:12:53
UGC05396	309	10:01:40	+10:45:23
SDSSJ100141.02+371447.4	310	10:01:40	+37:14:52
NGC3106	311	10:04:04	+31:11:07
NGC3057	312	10:05:39	+80:17:12
UGC05498NED01	314	10:12:03	+23:05:07
NGC3158	318	10:13:49	+38:45:53
UGC05598	326	10:22:13	+20:35:21
NGC3300	339	10:36:37	+14:10:15
UGC05771	341	10:37:18	+43:35:15
NGC3381	353	10:48:24	+34:42:41
NGC3395	355	10:49:49	+32:58:58
UGC06036	364	10:55:54	+36:51:41
IC0674	381	11:11:05	+43:37:58
UGC06256	383	11:13:55	+65:10:38
UGC06312	386	11:17:59	+07:50:41
NGC3615	387	11:18:06	+23:23:50
NGC3614	388	11:18:20	+45:44:53
NGC3619	391	11:19:21	+57:45:28
NGC3687	414	11:28:00	+29:30:39
NGC3811	436	11:41:16	+47:41:26
NGC3815	437	11:41:38	+24:48:01
NGC3991	475	11:57:31	+32:20:30
NGC3994	476	11:57:36	+32:16:39
NGC4003	479	11:57:58	+23:07:29
UGC07012	486	12:02:02	+29:50:52
UGC07145	500	12:09:50	+38:13:07
NGC4149	502	12:10:32	+58:18:15
NGC4185	515	12:13:21	+28:30:39
NGC4210	518	12:15:15	+65:59:07
IC0776	528	12:19:02	+08:51:22
NGC4470	548	12:29:37	+07:49:27
IC3598	562	12:37:20	+28:12:29
NGC4644	569	12:42:42	+55:08:43
NGC4711	580	12:48:45	+35:19:57
UGC08004	581	12:51:37	+31:21:09
NGC4816	588	12:56:11	+27:44:43
NGC4841A	589	12:57:31	+28:28:36
NGC4874	592	12:59:35	+27:57:33
NGC4956	602	13:05:00	+35:10:41
NGC4961	603	13:05:47	+27:44:03
UGC08231	606	13:08:37	+54:04:27
UGC08234	607	13:08:46	+62:16:18
NGC5000	608	13:09:47	+28:54:25
UGC08250	609	13:10:19	+32:28:59
UGC08267	610	13:11:10	+43:43:35
NGC5016	611	13:12:06	+24:05:41
NGC5029	612	13:12:37	+47:03:47
UGC08322	613	13:15:00	+12:43:30
IC4215	615	13:16:16	+25:24:18
NGC5157	624	13:27:16	+32:01:50
NGC5205	630	13:30:03	+62:30:41
NGC5216	633	13:32:06	+62:42:02
NGC5218	634	13:32:09	+62:46:04
NGC5267	651	13:40:39	+38:47:38
UGC08662	652	13:41:16	+33:46:21
NGC5289	653	13:45:08	+41:30:12
UGC08733	657	13:48:38	+43:24:43
NGC5320	659	13:50:19	+41:21:58
IC0944	663	13:51:30	+14:05:31
UGC08778	664	13:52:06	+38:04:01
UGC08781	665	13:52:22	+21:32:21
NGC5376	672	13:55:15	+59:30:23
NGC5379	673	13:55:33	+59:44:34
NGC5378	676	13:56:50	+37:47:50
NGC5402	679	13:58:16	+59:48:51
NGC5406	684	14:00:19	+38:54:55
UGC08988	697	14:03:19	+60:59:24
NGC5434B	699	14:03:26	+09:28:01
UGC08984	702	14:03:46	+35:44:29
NGC5473	703	14:04:42	+54:53:33
NGC5475	705	14:05:12	+55:44:30
NGC5480	707	14:06:21	+50:43:30
NGC5485	708	14:07:10	+55:00:06
UGC09071	711	14:10:02	+54:13:05
UGC09080	713	14:10:35	+59:21:28
UGC09067	714	14:10:44	+15:12:34
NGC5520	715	14:12:22	+50:20:54
NGC5614	740	14:24:07	+34:51:31
NGC5631	744	14:26:32	+56:34:57
NGC5633	748	14:27:27	+46:08:47
NGC5630	749	14:27:36	+41:15:28
NGC5657	754	14:30:43	+29:10:50
NGC5682	758	14:34:44	+48:40:12
NGC5720	764	14:38:32	+50:48:54
NGC5732	768	14:40:38	+38:38:16
UGC09476	769	14:41:31	+44:30:46
UGC09537	774	14:48:26	+34:59:53
UGC09542	775	14:49:00	+42:27:50
NGC5784	778	14:54:16	+42:33:28
UGC09598	779	14:55:08	+43:49:06
NGC5797	780	14:56:23	+49:41:46
IC1079	781	14:56:35	+09:22:10
UGC09629	782	14:57:10	+52:20:45
UGC09665	783	15:01:31	+48:19:11
NGC5876	787	15:09:31	+54:30:23
UGC09759	788	15:10:40	+55:20:57
NGC5888	789	15:13:06	+41:15:52
UGC09777	790	15:14:14	+20:28:42
NGC5908	791	15:16:42	+55:24:33
NGC5928	794	15:26:02	+18:04:24
UGC09873	797	15:29:50	+42:37:44
UGC09892	798	15:32:51	+41:11:29
NGC5951	799	15:33:42	+15:00:26
NGC5957	803	15:35:22	+12:02:51
NGC5971	804	15:35:36	+56:27:42
UGC09919	805	15:35:39	+12:36:23
NGC5966	806	15:35:51	+39:46:08
IC4566	807	15:36:41	+43:32:21
UGC09937	808	15:37:22	+20:32:59
NGC5987	809	15:39:56	+58:04:46
NGC5980	810	15:41:30	+15:47:15
UGC10043	811	15:48:41	+21:52:11
NGC6004	813	15:50:22	+18:56:21
UGC10097	814	15:55:42	+47:52:02
NGC6020	815	15:57:07	+22:24:16
NGC6021	816	15:57:30	+15:57:21
IC1151	817	15:58:31	+17:26:29
UGC10123	818	15:59:02	+51:18:16
NGC6032	820	16:03:00	+20:57:21
NGC6060	821	16:05:51	+21:29:05
UGC10205	822	16:06:39	+30:05:56
NGC6063	823	16:07:12	+07:58:44
IC1199	824	16:10:33	+10:02:25
NGC6081	826	16:12:56	+09:52:01
UGC10297	827	16:15:28	+18:54:18
UGC10331	828	16:17:20	+59:19:12
NGC6125	829	16:19:11	+57:59:02
UGC10337	830	16:19:28	+07:16:43
NGC6132	831	16:23:38	+11:47:10
NGC6146	832	16:25:09	+40:53:34
NGC6154	833	16:25:30	+49:50:25
UGC10380	834	16:25:49	+16:34:33
NGC6150	835	16:25:49	+40:29:19
NGC6155	836	16:26:07	+48:22:00
UGC10384	837	16:26:46	+11:34:49
UGC10388	838	16:27:02	+16:22:55
NGC6173	840	16:29:44	+40:48:41
NGC6168	841	16:31:20	+20:11:05
NGC6186	842	16:34:24	+21:32:27
UGC10650	843	17:00:14	+23:06:25
NGC6278	844	17:00:49	+23:00:39
UGC10693	845	17:04:52	+41:51:55
UGC10695	846	17:05:05	+43:02:35
UGC10710	847	17:06:52	+43:07:19
NGC6310	848	17:07:56	+60:59:24
NGC6301	849	17:08:32	+42:20:20
NGC6314	850	17:12:38	+23:16:11
NGC6338	851	17:15:22	+57:24:40
UGC10796	852	17:16:47	+61:55:12
UGC10811	854	17:18:43	+58:08:06
UGC10799	855	17:18:53	+29:51:21
IC1256	856	17:23:46	+26:29:11
NGC6394	857	17:30:20	+59:38:23
UGC10905	858	17:34:06	+25:20:37
NGC6411	859	17:35:32	+60:48:48
NGC6427	860	17:43:38	+25:29:37
UGC10972	861	17:46:21	+26:32:37
NGC6478	862	17:48:37	+51:09:26
NGC6497	863	17:51:17	+59:28:14
NGC6515	864	17:57:24	+50:43:41
UGC11228	865	18:24:45	+41:29:34
UGC11262	866	18:30:35	+42:41:34
NGC6762	867	19:05:36	+63:56:03
MCG-02-51-004	868	20:15:39	-13:37:19
NGC6941	869	20:36:23	-04:37:07
NGC6945	870	20:39:00	-04:58:21
NGC6978	871	20:52:35	-05:42:40
UGC11649	872	20:55:27	-01:13:30
NGC7025	874	21:07:46	+16:20:09
UGC11694	875	21:11:51	+11:16:33
NGC7047	876	21:16:27	-00:49:35
MCG-01-54-016	878	21:25:59	-03:48:32
UGC11792	880	21:42:12	+05:36:55
NGC7194	881	22:03:30	+12:38:12
UGC11958	883	22:14:46	+13:50:27
UGC11982	884	22:18:52	-01:03:31
UGC12054	885	22:29:31	+07:43:34
NGC7311	886	22:34:06	+05:34:13
NGC7321	887	22:36:27	+21:37:18
UGC12127	888	22:38:29	+35:19:47
NGC7364	889	22:44:24	-00:09:43
UGC12185	890	22:47:24	+31:22:25
UGC12224	891	22:52:37	+06:05:37
NGC7436B	893	22:57:57	+26:09:00
UGC12274	894	22:58:19	+26:03:43
UGC12308	895	23:01:18	+14:20:22
NGC7466	896	23:02:02	+27:03:09
UGC12348	897	23:05:18	+00:11:22
NGC7489	898	23:07:32	+22:59:53
NGC7550	900	23:15:15	+18:57:41
NGC7549	901	23:15:16	+19:02:30
NGC7563	902	23:15:55	+13:11:45
NGC7562	903	23:15:57	+06:41:15
NGC7591	904	23:18:15	+06:35:09
UGC12494	905	23:18:52	+06:52:36
IC5309	906	23:19:11	+08:06:34
NGC7608	907	23:19:14	+08:21:00
UGC12519	909	23:20:02	+15:57:10
UGC12518	910	23:20:12	+07:55:55
NGC7619	911	23:20:14	+08:12:22
NGC7623	912	23:20:29	+08:23:44
NGC7631	914	23:21:26	+08:13:03
NGC7653	915	23:24:48	+15:16:32
NGC7671	916	23:27:18	+12:28:03
