#num, CALIFA_ID,ned_name,ra,dec,Mr,u-r,objID,fiberMag_r,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,petroRad_r,petroR50_r,petroR90_r,z,re
0,K0001,IC5376,0.33241082,34.52566812,-20.65,2.61,758874373141561601,16.02146721,16.40677643,14.48584175,13.62735653,13.16048908,12.89414787,21.87024498,8.446649551,28.12245941,0.016792,9.50399971
1,K0002,UGC00005,0.77351247,-1.91383463,-21.76,2.76,587747117839614023,17.29951286,16.1230278,13.94192123,13.26508713,12.8963232,12.78683186,25.58309174,12.4019413,25.60126305,0.02434,12.671999931
2,K0003,NGC7819,1.10210523,31.47200751,-20.57,2.3,758874373142937646,16.76483727,16.06271935,14.28064919,13.62360382,13.48658752,13.6898222,38.26852036,14.60249996,30.78056526,0.016677,19.00799942
3,K0004,UGC00029,1.14060365,28.3017234,-21.97,2.7,758874299604599050,16.26246071,16.3736763,14.46725655,13.54228306,13.10324192,12.84916973,22.95294571,8.869948387,27.49419975,0.02931,14.652000427
4,K0005,IC1528,1.27240327,-7.09339021,-20.41,2.18,587747072735445184,17.28198051,15.35303116,13.70645332,13.08639336,12.81064701,12.8763895,34.91903687,14.90559673,31.55147171,0.01278,17.027999877
5,K0006,NGC7824,1.2759865,6.92014687,-21.95,3.17,587743958889791556,15.20729351,16.00550842,13.5772419,12.71332455,12.28933334,12.07104874,28.70924568,9.007182121,29.04437065,0.020451,9.8999996185
6,K0007,UGC00036,1.30783959,6.77202923,-21.3,2.74,587743795680641060,16.12401581,16.28752518,14.32672119,13.42565155,12.95314121,12.68413448,16.80584335,7.407170296,19.84444427,0.020958,7.9200000762
7,K0008,NGC0001,1.81608441,27.70808138,-21.11,2.24,758874300141797513,15.37564373,15.28492069,13.70182991,12.89006519,12.49813175,12.25979519,18.92326355,7.828069687,23.79213715,0.015147,9.8999996185
8,K0009,NGC0023,2.47260843,25.92383203,-22.0,2.15,587740525079887913,14.54792213,14.18608379,12.66893101,11.94744205,11.62139511,11.37175655,25.92420959,8.999041557,28.96769714,0.015227,11.088000297
9,K0010,NGC0036,2.84290734,6.38935201,-21.86,2.48,587743795144425534,16.11991692,15.44959164,13.71020031,12.81370926,12.48478603,12.37944984,32.42208862,14.00863457,34.89094543,0.02032,17.819999694
10,K0011,UGC00139,3.6327609,-0.73755717,-19.82,1.7,588015508197212201,17.63388443,15.60756397,14.30027008,13.79702187,13.5503397,13.51087952,27.32182693,11.66825867,29.2502861,0.0131719,13.463999748
11,K0012,UGC00148,3.96373138,16.08983177,-20.4,1.76,588290882175762488,17.6715374,15.32159996,14.00012112,13.40913486,13.12959766,12.92515755,30.88523293,13.22674847,29.37270355,0.013973,13.463999748
12,K0013,MCG-02-02-030,7.5304554,-11.11362897,-20.52,2.4,587727177915826302,16.55215836,15.27379799,13.49102974,12.79432201,12.43783283,12.27862263,29.3875103,12.60538578,28.20728493,0.0117633,13.067999839
13,K0014,UGC00312,7.84967464,8.466731,-20.23,1.7,587744046932492394,16.99335861,15.39253426,14.00110245,13.59925365,13.45105648,13.66956139,30.84212303,13.14460468,27.39866257,0.014497,9.8999996185
14,K0015,ESO539-G014,7.86745193,-19.76145279,-19.97,2.49,587747296077742170,18.31996536,17.5043869,15.51970005,14.9674387,14.65181255,14.47274399,25.22991753,10.51564026,28.24516106,0.023603,11.088000297
15,K0016,MCG-02-02-040,7.89911563,-10.50639449,-19.79,2.16,587727225693536418,17.76215363,15.79234982,14.2144289,13.55644035,13.28068542,13.14597702,28.0271225,12.21754265,27.19172668,0.011755,12.671999931
16,K0017,UGC00335NED02,8.48884478,7.26827251,-20.7,3.49,587744045322207266,16.04279709,17.21981239,14.50293636,13.64293098,13.2269392,13.12658978,18.93634224,7.633802414,24.63722229,0.018259,11.880000114
17,K0018,NGC0155,8.66700084,-10.76651244,-21.86,2.63,587727178453221380,15.59764671,15.48653126,13.55790806,12.78684616,12.36559772,12.16788769,23.08435631,9.659468651,29.03959274,0.0206639,13.859999656
18,K0019,ESO540-G003,8.91455675,-20.12538151,-19.92,2.22,587747073815740422,16.48607635,15.52943993,13.84905529,13.23959446,12.91487026,12.79163647,20.66570091,9.610697746,25.29780769,0.011114,10.295999527
19,K0020,NGC0160,9.01710821,23.95790835,-21.7,2.94,587740586800709699,15.48523712,15.57999897,13.42776871,12.56224537,12.16303444,12.03654194,35.29214859,13.07041073,38.97025681,0.017522,15.840000152
20,K0021,NGC0165,9.12051346,-10.10616335,-21.17,2.93,587727226230931521,16.77614403,16.37355232,14.02361393,13.36177635,13.0820179,13.19950485,35.24702072,14.87118053,29.63644218,0.0196437,17.819999694
21,K0022,NGC0169,9.21503464,23.99097281,-20.96,3.73,587740586800775291,15.93483639,16.79500961,14.13627148,12.99224949,12.42527294,12.01848602,24.70631981,10.05597401,27.05973816,0.015447,16.236000061
22,K0023,NGC0171,9.33980015,-19.93422499,-21.24,2.59,587747074352611422,16.05388641,14.9494381,13.00227165,12.30820465,11.94040489,11.8902359,40.20973206,19.27885818,38.13113022,0.0131,22.572000503
23,K0024,NGC0177,9.3930687,-22.54923343,-20.42,3.05,587747296079118458,15.73125648,16.19748688,13.82395935,13.09613895,12.72016811,12.53816032,26.59239769,8.84357357,33.53736115,0.012822,9.1079998016
24,K0025,NGC0180,9.49042831,8.63516338,-21.53,2.87,587743982507458603,16.37004852,15.81131268,13.70413971,12.80458736,12.56197262,12.40109253,44.22650528,18.55320358,40.44253159,0.017652,24.552000045
25,K0026,NGC0192,9.80589203,0.86415789,-21.21,2.65,588015510347382842,15.34189034,15.14610863,13.28151608,12.44589806,12.0445509,11.80897999,28.95246696,11.82181835,31.1066246,0.01404,13.067999839
26,K0027,NGC0216,10.36320664,-21.04467378,-18.01,1.58,587747074890072103,17.02689934,14.83336449,13.66725159,13.2061739,12.9398241,12.96282387,24.72006798,10.99553013,26.95612526,0.005204,13.463999748
27,K0028,NGC0214,10.36682538,25.4993754,-21.76,2.36,587740524546097263,15.97503853,14.61581898,12.85650063,12.1717844,11.81921577,11.64311028,33.1650238,14.26092625,34.80707932,0.015087,15.840000152
28,K0029,NGC0217,10.39122297,-10.02142922,-21.53,2.93,587727226231455809,15.6122427,15.10384274,12.94406605,12.0886488,11.64572048,11.42854977,32.72351074,13.95541286,41.52706909,0.0131494,14.652000427
29,K0030,NGC0237,10.86600634,-0.1249298,-20.75,1.84,587731186208669747,16.57227135,14.80939674,13.48383808,12.92892551,12.64154816,12.46884823,22.60809326,10.86966419,26.25396919,0.013883,11.880000114
30,K0031,NGC0234,10.88497099,14.342568,-21.42,2.23,587724232101199896,16.55013657,15.05195713,13.28533173,12.60669422,12.28259563,12.22078228,34.83192825,16.76579857,32.05033493,0.0148695,19.403999328
31,K0032,MCG-02-03-015,11.94347942,-9.83505089,-21.1,2.55,587727179528339473,15.86038876,16.05096626,14.21527004,13.40724277,12.96131897,12.75201225,18.80014229,8.00958252,25.04810333,0.019130999,8.3159999847
32,K0033,NGC0257,12.00629643,8.29706949,-21.69,2.4,587744046934327332,16.02730942,15.18645477,13.27925491,12.64773846,12.22893715,12.19302082,35.42246628,15.0223732,31.72183037,0.017539,17.027999877
33,K0034,NGC0309,14.17775494,-9.91386646,-21.77,4.39,587727226233094186,16.39753532,17.17747498,13.41365147,12.69059086,12.33329296,12.82443142,46.10991669,21.88043213,41.43546677,0.018901199,20.591999054
34,K0035,NGC0364,16.17012646,-0.8027456,-21.25,2.99,588015508202717203,15.48722172,16.01671982,13.8130064,12.95211983,12.52483654,12.33724117,25.75004005,8.852049828,27.42811775,0.0170784,9.50399971
35,K0036,NGC0429,18.23926906,-0.34499709,-20.93,2.57,588015508740505613,15.38941288,16.15215683,14.33292675,13.50119305,13.08682537,12.79658985,9.175147057,3.810113668,12.0534687,0.0187923,4.3559999465
36,K0037,IC1652,18.73448568,31.94850188,-20.7,2.45,758877156284956742,15.76596642,16.19335175,14.34610748,13.61230373,13.08324814,12.88906288,12.24937916,5.365165234,17.18724823,0.017279,6.3359999656
37,K0038,NGC0447,18.90683494,33.06776705,-21.46,2.71,758877156285415576,15.6505127,15.90881348,13.6969738,13.04966927,12.45292568,12.26366806,26.4132328,9.357071877,31.18406296,0.018653,20.591999054
38,K0039,NGC0444,18.95650808,31.08062313,-19.97,1.94,758877155747692835,18.32901955,16.29195213,14.78880501,14.20557308,13.93775463,13.9877882,33.90086365,14.68980312,33.08159256,0.016141,13.463999748
39,K0040,UGC00809,18.96598717,33.81070446,-19.41,2.08,758877156285743660,18.37888718,16.63570023,15.01262093,14.417696,14.12675285,14.01968002,27.27247047,11.89164925,27.4479351,0.01401,11.880000114
40,K0041,UGC00841,19.79178171,33.03062506,-20.03,2.15,758877155211739511,18.11075401,16.77493668,15.07785702,14.47438622,14.12367058,14.08888054,24.05690956,10.32721043,26.04644966,0.018626,9.8999996185
41,K0042,NGC0477,20.33534599,40.48814817,-20.79,2.39,758877280844054625,17.46854782,16.33421707,14.57454491,13.81488132,13.47360897,13.27882767,32.14123917,14.31227589,30.78345871,0.01956,17.027999877
42,K0043,IC1683,20.66220558,34.43712726,-20.75,2.54,758877154675523673,16.04297066,16.06303215,14.23221779,13.40468884,13.02866077,12.82561398,20.07843781,9.224518776,23.93745041,0.016185,9.8999996185
43,K0044,NGC0499,20.79790079,33.46019063,-21.88,2.83,758877154138194154,15.03083515,15.09634781,12.98181343,12.09226704,11.61243534,11.32091904,24.58566856,9.684880257,28.67665482,0.014567,13.463999748
44,K0045,NGC0496,20.79831372,33.52927366,-21.12,2.32,758877154138259510,17.73213005,16.0791626,14.23294353,13.58478451,13.30166721,13.42282486,31.89110947,14.34085941,29.08408546,0.020054,13.859999656
45,K0046,NGC0504,20.86626928,33.20435434,-20.5,2.69,758877154138128424,15.48139954,16.1880722,14.23203564,13.35395908,12.90914726,12.57571793,9.692066193,4.336513042,13.75841045,0.014096,5.1479997634
46,K0047,NGC0517,21.1825233,33.42959176,-20.87,2.65,758877278693556258,15.07332516,15.74567413,13.787714,12.95893383,12.51739311,12.22938061,13.43841553,5.508107185,19.07432938,0.014003,7.5240001678
47,K0048,NGC0523,21.33648955,34.02495125,-20.94,2.73,758877278693818418,17.06575394,16.03816795,13.95353127,13.17464542,12.76721478,12.53499603,30.64961052,14.23094559,26.35930252,0.016223,8.3159999847
48,K0049,UGC00987,21.38103269,32.13627354,-20.89,2.43,758877278156095644,15.63473892,15.76438999,14.01096058,13.18964767,12.76487541,12.46565151,17.22265816,7.370933056,22.1228981,0.015524,7.9200000762
49,K0050,NGC0528,21.38988188,33.67144291,-21.36,2.88,758877153601454301,15.21512127,15.84313107,13.72858047,12.81133556,12.35553646,12.07375622,17.04853249,7.035301208,21.50145912,0.016084,7.9200000762
50,K0051,NGC0529,21.41783812,34.71302553,-21.8,2.75,758877278694080872,14.96418762,15.19623756,13.17465687,12.32988644,11.88436127,11.59952068,18.76617432,7.891080856,24.71247673,0.016061,11.088000297
51,K0052,NGC0551,21.91930793,37.18298246,-21.12,3.11,758877278695194777,16.94439888,16.46585846,14.09290886,13.21582699,12.91109943,12.78664875,29.09029579,13.22838783,28.01688004,0.017352,14.652000427
52,K0053,UGC01057,22.22188917,13.79379874,-20.71,1.98,587724232105984180,17.47479057,16.16022491,14.62828636,14.06338787,13.73880005,13.56079102,19.62734795,9.05546093,22.1193409,0.021159099,8.3159999847
53,K0054,NGC0570,22.24433083,-0.94899858,-21.5,2.64,587731511533568042,15.94347763,15.57527828,13.69278336,12.86959743,12.47474098,12.30761528,24.78970528,10.84450722,30.32813835,0.018469401,13.463999748
54,K0055,UGC01062,22.2481833,-0.56194176,-21.46,2.63,587731512070438934,15.31726742,15.59288979,13.69470882,12.89770603,12.49498272,12.25757122,19.83111191,7.380420685,24.46088982,0.018241299,9.1079998016
55,K0056,2MASXJ01331766+1319567,23.32379048,13.33202707,-18.73,2.24,587724231569637480,18.64804077,16.83262444,15.08830929,14.46016026,14.28359127,14.43437481,40.81140137,14.58016682,32.62408447,0.00938686,17.423999786
56,K0057,UGC01123,23.53320983,-1.0322863,-20.77,2.46,587731511534092352,15.70711327,15.90813446,14.15648556,13.36151505,12.95165253,12.68008041,15.1118536,6.450143337,20.7758522,0.016335201,5.9400000572
57,K0058,IC0159,26.60438752,-8.63662022,-20.07,1.71,587727231596757023,17.52294159,15.30217838,13.94420528,13.52164078,13.35477543,13.42518616,26.72763252,13.05315113,27.03746223,0.0130143,12.671999931
58,K0059,UGC01271,27.25026618,13.21110753,-21.12,2.74,587724197746049057,15.68863487,16.0721035,14.06748867,13.1780405,12.72088623,12.45739555,18.35847855,7.488061905,22.91036987,0.016809899,7.9200000762
59,K0060,UGCA021,27.29314699,-10.06123737,-18.35,1.88,587727178461216862,18.25016785,15.63595867,14.19400311,13.64158535,13.57794476,13.76524734,41.37389374,18.44782257,39.63460541,0.00662842,28.115999221
60,K0061,NGC0681,27.29516566,-10.42647756,-19.57,3.07,587727177924345886,15.61219597,15.23235321,12.93015671,12.08439064,11.60587502,11.44084263,33.76809311,15.64037228,38.19221878,0.00587154,22.968000412
61,K0062,UGC01274,27.29842257,12.85325462,-21.54,2.79,587724197209243659,15.88559723,16.79420853,14.79620266,13.81133556,13.309062,12.95368576,9.246856689,4.161826611,12.79786682,0.0262562,5.1479997634
62,K0063,NGC0677,27.30858425,13.0553494,-21.61,2.79,587724231571341317,15.2179451,15.75444412,13.70432377,12.75240993,12.28468704,11.99672508,15.64496231,6.388699055,21.42910004,0.0169519,13.859999656
