NAME,ID,RA,DEC,at_flux,k,gal_number
IC5376,1,10/3/2016 12:01:19 AM,+34:31:31,at_flux__yx,K,1
UGC00005,2,10/3/2016 12:03:05 AM,-01:54:49,at_flux__yx,K,2
NGC7819,3,10/3/2016 12:04:24 AM,+31:28:18,at_flux__yx,K,3
IC1528,5,10/3/2016 12:05:04 AM,-07:05:35,at_flux__yx,K,5
UGC00036,7,10/3/2016 12:05:13 AM,+06:46:19,at_flux__yx,K,7
NGC0001,8,10/3/2016 12:07:15 AM,+27:42:28,at_flux__yx,K,8
NGC0023,9,10/3/2016 12:09:52 AM,+25:55:26,at_flux__yx,K,9
NGC0036,10,10/3/2016 12:11:21 AM,+06:23:21,at_flux__yx,K,10
UGC00148,12,10/3/2016 12:15:50 AM,+16:05:23,at_flux__yx,K,12
MCG-02-02-030,13,10/3/2016 12:30:06 AM,-11:06:49,at_flux__yx,K,13
UGC00312,14,10/3/2016 12:31:23 AM,+08:28:00,at_flux__yx,K,14
UGC00335NED02,17,10/3/2016 12:33:56 AM,+07:16:06,at_flux__yx,K,17
NGC0155,18,10/3/2016 12:34:39 AM,-10:45:59,at_flux__yx,K,18
ESO540-G003,19,10/3/2016 12:35:39 AM,-20:07:30,at_flux__yx,K,19
NGC0160,20,10/3/2016 12:36:03 AM,+23:57:28,at_flux__yx,K,20
NGC0171,23,10/3/2016 12:37:21 AM,-19:56:02,at_flux__yx,K,23
NGC0180,25,10/3/2016 12:37:57 AM,+08:38:06,at_flux__yx,K,25
NGC0192,26,10/3/2016 12:39:12 AM,+00:51:50,at_flux__yx,K,26
NGC0216,27,10/3/2016 12:41:26 AM,-21:02:40,at_flux__yx,K,27
NGC0214,28,10/3/2016 12:41:27 AM,+25:29:57,at_flux__yx,K,28
NGC0217,29,10/3/2016 12:41:33 AM,-10:01:17,at_flux__yx,K,29
NGC0237,30,10/3/2016 12:43:27 AM,-00:07:29,at_flux__yx,K,30
NGC0234,31,10/3/2016 12:43:31 AM,+14:20:33,at_flux__yx,K,31
NGC0257,33,10/3/2016 12:48:01 AM,+08:17:49,at_flux__yx,K,33
NGC0309,34,10/3/2016 12:56:42 AM,-09:54:50,at_flux__yx,K,34
NGC0364,35,10/3/2016 1:04:40 AM,-00:48:09,at_flux__yx,K,35
NGC0429,36,10/3/2016 1:12:56 AM,-00:20:41,at_flux__yx,K,36
IC1652,37,10/3/2016 1:14:55 AM,+31:56:56,at_flux__yx,K,37
NGC0447,38,10/3/2016 1:15:37 AM,+33:04:05,at_flux__yx,K,38
NGC0444,39,10/3/2016 1:15:49 AM,+31:04:51,at_flux__yx,K,39
UGC00809,40,10/3/2016 1:15:51 AM,+33:48:39,at_flux__yx,K,40
UGC00841,41,10/3/2016 1:19:09 AM,+33:01:51,at_flux__yx,K,41
NGC0477,42,10/3/2016 1:21:19 AM,+40:29:18,at_flux__yx,K,42
IC1683,43,10/3/2016 1:22:38 AM,+34:26:15,at_flux__yx,K,43
NGC0499,44,10/3/2016 1:23:10 AM,+33:27:37,at_flux__yx,K,44
NGC0496,45,10/3/2016 1:23:11 AM,+33:31:46,at_flux__yx,K,45
NGC0504,46,10/3/2016 1:23:27 AM,+33:12:17,at_flux__yx,K,46
NGC0517,47,10/3/2016 1:24:43 AM,+33:25:47,at_flux__yx,K,47
UGC00987,49,10/3/2016 1:25:30 AM,+32:08:12,at_flux__yx,K,49
NGC0528,50,10/3/2016 1:25:33 AM,+33:40:18,at_flux__yx,K,50
NGC0529,51,10/3/2016 1:25:39 AM,+34:42:48,at_flux__yx,K,51
NGC0551,52,10/3/2016 1:27:40 AM,+37:11:00,at_flux__yx,K,52
UGC01057,53,10/3/2016 1:28:52 AM,+13:47:37,at_flux__yx,K,53
NGC0570,54,10/3/2016 1:28:58 AM,-00:56:56,at_flux__yx,K,54
UGC01062,55,10/3/2016 1:28:59 AM,-00:33:43,at_flux__yx,K,55
