#num,name,ra2,dec2
0,IC5376,0.329166666667,34.5252777778
1,UGC00005,0.770833333333,-1.91361111111
2,NGC7819,1.1,31.4716666667
3,IC1528,1.26666666667,-7.09305555556
4,UGC00036,1.30416666667,6.77194444444
5,NGC0001,1.8125,27.7077777778
6,NGC0023,2.46666666667,25.9238888889
7,NGC0036,2.8375,6.38916666667
8,UGC00148,3.95833333333,16.0897222222
9,MCG-02-02-030,7.525,-11.1136111111
10,UGC00312,7.84583333333,8.46666666667
11,UGC00335NED02,8.48333333333,7.26833333333
12,NGC0155,8.6625,-10.7663888889
13,ESO540-G003,8.9125,-20.125
14,NGC0160,9.0125,23.9577777778
15,NGC0171,9.3375,-19.9338888889
16,NGC0180,9.4875,8.635
17,NGC0192,9.8,0.863888888889
18,NGC0216,10.3583333333,-21.0444444444
19,NGC0214,10.3625,25.4991666667
20,NGC0217,10.3875,-10.0213888889
21,NGC0237,10.8625,-0.124722222222
22,NGC0234,10.8791666667,14.3425
23,NGC0257,12.0041666667,8.29694444444
24,NGC0309,14.175,-9.91388888889
25,NGC0364,16.1666666667,-0.8025
26,NGC0429,18.2333333333,-0.344722222222
27,IC1652,18.7291666667,31.9488888889
28,NGC0447,18.9041666667,33.0680555556
29,NGC0444,18.9541666667,31.0808333333
30,UGC00809,18.9625,33.8108333333
31,UGC00841,19.7875,33.0308333333
32,NGC0477,20.3291666667,40.4883333333
33,IC1683,20.6583333333,34.4375
34,NGC0499,20.7916666667,33.4602777778
35,NGC0496,20.7958333333,33.5294444444
36,NGC0504,20.8625,33.2047222222
37,NGC0517,21.1791666667,33.4297222222
38,UGC00987,21.375,32.1366666667
39,NGC0528,21.3875,33.6716666667
40,NGC0529,21.4125,34.7133333333
41,NGC0551,21.9166666667,37.1833333333
42,UGC01057,22.2166666667,13.7936111111
43,NGC0570,22.2416666667,-0.948888888889
44,UGC01062,22.2458333333,-0.561944444444
45,UGC01123,23.5291666667,-1.03222222222
46,IC0159,26.6,-8.63666666667
47,UGC01271,27.2458333333,13.2108333333
48,NGC0681,27.2916666667,-10.4263888889
49,NGC0693,27.625,6.14472222222
50,NGC0716,28.2458333333,12.7083333333
51,UGC01368,28.55,7.88361111111
52,NGC0731,28.7291666667,-9.01055555556
53,NGC0741,29.0833333333,5.62888888889
54,NGC0755,29.0916666667,-9.06111111111
55,IC1755,29.2875,14.5497222222
56,NGC0768,29.6666666667,0.529166666667
57,NGC0774,29.8916666667,14.0080555556
58,NGC0776,29.975,23.6441666667
59,NGC0810,31.3666666667,13.2513888889
60,NGC0825,32.1291666667,6.32361111111
61,NGC0833,32.3333333333,-10.1327777778
62,NGC0842,32.4583333333,-7.76222222222
63,UGC01659,32.4833333333,16.0327777778
64,UGC01749,34.0541666667,18.3113888889
65,NGC0873,34.1291666667,-11.3480555556
66,UGC01918,36.8791666667,25.6688888889
67,NGC0932,36.975,20.3322222222
68,UGC01938,37.0875,23.2147222222
69,NGC0941,37.1125,-1.15138888889
70,NGC0938,37.1375,20.2836111111
71,NGC0955,37.6333333333,-1.10833333333
72,NGC0962,38.1625,28.0702777778
73,UGC02018,38.1625,0.26
74,NGC0976,38.4958333333,20.9766666667
75,NGC0991,38.8833333333,-7.15444444444
76,UGC02099,39.3,21.5675
77,UGC02134,39.7125,27.8475
78,NGC1026,39.825,6.54388888889
79,NGC1041,40.1,-5.44
80,NGC1056,40.6958333333,28.5744444444
81,NGC1060,40.8083333333,32.4252777778
82,NGC1070,40.8375,4.96805555556
83,UGC02222,41.2875,32.99
84,UGC02239,41.6458333333,32.4497222222
85,NGC1094,41.8625,-0.285
86,NGC1093,42.0625,34.42
87,UGC02311,42.3625,-0.872777777778
88,UGC02319,42.4708333333,-1.00361111111
89,UGC02403,43.9833333333,0.6925
90,UGC02443,44.5875,-2.04138888889
91,NGC1167,45.4208333333,35.2058333333
92,MCG-01-09-006,47.1958333333,-7.04055555556
93,IC0307,48.4333333333,-0.241388888889
94,UGC02628,49.1291666667,-0.468055555556
95,UGC02690,50.175,-1.10861111111
96,NGC1324,51.2541666667,-5.74555555556
97,NGC1349,52.8625,4.38083333333
98,NGC1361,53.5708333333,-6.265
99,MCG-01-10-015,54.6583333333,-5.34722222222
100,MCG-01-10-019,55.175,-6.415
101,NGC1542,64.3041666667,4.78166666667
102,NGC1645,71.0208333333,-5.46555555556
103,UGC03151,71.3291666667,11.0677777778
104,NGC1656,71.4666666667,-5.13638888889
105,NGC1659,71.6208333333,-4.78861111111
106,NGC1665,72.0666666667,-5.42722222222
107,NGC1666,72.1333333333,-6.56972222222
108,NGC1667,72.15,-6.31972222222
109,IC2095,72.1875,-5.12444444444
110,IC2098,72.6791666667,-5.41805555556
111,NGC1677,72.7125,-4.8925
112,IC2101,72.9208333333,-6.23138888889
113,NGC2253,100.920833333,65.2066666667
114,NGC2347,109.0125,64.7116666667
115,UGC03899,113.154166667,35.6144444444
116,NGC2410,113.754166667,32.8219444444
117,UGC03944,114.65,37.6333333333
118,UGC03969,115.304166667,27.6138888889
119,NGC2449,116.829166667,26.93
120,UGC04029,117.075,34.3319444444
121,IC0480,118.841666667,26.7408333333
122,NGC2480,119.2875,23.7797222222
123,NGC2481,119.304166667,23.7677777778
124,NGC2487,119.579166667,25.1491666667
125,UGC04132,119.8,32.9144444444
126,UGC04140,119.8375,18.1102777778
127,UGC04145,119.9125,15.3866666667
128,UGC04136,119.975,47.4130555556
129,IC0485,120.079166667,26.7013888889
130,NGC2507,120.4,15.7097222222
131,NGC2513,120.6,9.41333333333
132,UGC04176,120.675,40.6783333333
133,UGC04190,120.7375,16.2991666667
134,UGC04197,120.85,10.0502777778
135,UGC04210,121.266666667,25.0625
136,NGC2522,121.55,17.7063888889
137,NGC2530,121.979166667,17.8183333333
138,UGC04245,122.1875,18.1941666667
139,UGC04258,122.695833333,46.9122222222
